번호,년도,대분류,중분류,소분류,광고주,제품
태평양273,1994,화장품 및 보건용품,여성 기초화장품,여성용 팩류,태평양화학,비져블 페이스 마스크
태평양274,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,베스카인
태평양275,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양276,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양277,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양278,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양279,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양280,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,베스카인 UV화이트닝
태평양281,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양282,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양283,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양284,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양285,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양286,1994,제약 및 의료,근육 및 신경통제,근육통제,(주)태평양제약,케토톱
태평양287,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양288,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,설화
태평양289,1994,"금융,보험및 증권",금융 및 보험,신용카드,태평양화학,태평양 국민카드
태평양290,1994,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양291,1994,화장품 및 보건용품,구강용품,치약,태평양화학,오복치약
태평양292,1997,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,IOPE
태평양293,1997,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,헤라
태평양294,1997,화장품 및 보건용품,모발 및 목욕용제,세안비누,태평양화학,두보레
태평양295,1997,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레
태평양296,1997,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,헤라
태평양297,1997,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,레티놀2500
태평양298,1997,화장품 및 보건용품,구강용품,치약,태평양화학,화이트 키스
태평양299,1997,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,라네즈 칼라파워
태평양300,1997,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,헤라UV프레쉬 메이컵
태평양301,1997,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,라네즈 모델
태평양302,1997,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,스템3
태평양303,1997,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,라네즈
태평양304,1997,화장품 및 보건용품,모발 및 목욕용제,정발료 및 헤어스타일링,태평양화학,스케치 멀티 코팅 헤어칼라
태평양305,1999,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,헤라
태평양306,1999,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,헤라
태평양307,1999,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,헤라
태평양308,1999,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,헤라 
태평양309,1999,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,헤라
태평양310,1999,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,헤라
태평양311,1999,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,설화수
태평양312,1999,"금융,보험및 증권",금융 및 보험,생명보험,태평양생명,미즈 암보험
태평양313,1999,화장품 및 보건용품,방향 화장품,성인용 향수,태평양화학,ZEAL
태평양314,1999,화장품 및 보건용품,방향 화장품,성인용 향수,태평양화학,ZEAL
태평양315,1999,화장품 및 보건용품,여성 색조화장품,여성 색조화장품기타,태평양화학,네일케어
태평양316,1999,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레 카운셀러
태평양317,1999,"금융,보험및 증권",금융 및 보험,생명보험,태평양화학,암보험
태평양318,2000,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,시네마-헤라
태평양321,2000,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,헤라 D-100
태평양322,2000,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,화이트포스비타겐
태평양323,2000,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,크로마나이츠 메이컵
태평양324,2000,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,설화수
태평양325,2000,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,타페타
태평양327,2000,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,헤라 타페타
etc- (100),1958,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,정부수립10주년 기념
etc- (101),1959,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,리대통령 제84회 탄신기념
etc- (102),1957,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,리대통령 제82회 탄신기념
etc- (103),1955,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,해방10주년산업박람회기념
etc- (104),1946,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,해방 일주년 기념진정품
etc- (105),1963,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,경축 제5대 대통령 취임
etc- (106),1962,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,516군사혁명 제1주년기념
etc- (107),1962,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,516군사혁명 제1주년기념
etc- (108),1967,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,독일연방공화국 뤼브케 대통령 각하 내외분 방문
etc- (109),1967,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,독일연방공화국 뤼브케 대통령 각하 내외분 방문
etc- (110),1966,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,존슨 미국 대통령 각하 내외분 방문
etc- (111),1968,관공서 및 단체,단체,민간단체,전매청,제1회 한국무역박람회
etc- (112),1969,관공서 및 단체,단체,민간단체,전매청,한국과학기술연구소 준공기념
etc- (113),1970,관공서 및 단체,단체,공공단체,전매청,경부 고속도로 준공
etc- (114),1970,관공서 및 단체,단체,공공단체,전매청,경부 고속도로 준공
etc- (115),1971,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,제 7대 박정희 대통령 취임
etc- (116),1971,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,제1회 박대통령컵 쟁탈 아시아 축구대회
etc- (117),1971,관공서 및 단체,단체,공공단체,전매청,지하철 제1호 착공기념
etc- (118),1971,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,제7대 박정희 대통령 취임
etc- (119),1974,관공서 및 단체,단체,공공단체,전매청,서울 지하철 종로선 개통
etc- (120),1974,관공서 및 단체,단체,공공단체,전매청,서울 지하철 종로선 개통
etc- (121),1974,관공서 및 단체,단체,공공단체,전매청,수도권 전기철도 개통
etc- (122),1974,관공서 및 단체,단체,공공단체,전매청,수도권 전기철도 개통
etc- (123),1975,관공서 및 단체,단체,공공단체,전매청,국토횡단 전철개통
etc- (124),1975,관공서 및 단체,단체,공공단체,전매청,국토횡단 전철개통
etc- (125),1975,관공서 및 단체,단체,공공단체,전매청,국토횡단 전철개통
etc- (126),1978,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,제 9대 박정희 대통령 취임
etc- (127),1978,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,제 9대 박정희 대통령 취임
etc- (128),1979,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,카터 미합중국 대통령 각하 내외분 방문
etc- (129),1979,관공서 및 단체,단체,민간단체,전매청,한국종합전시장 개장기념
etc- (130),1980,관공서 및 단체,단체,민간단체,전매청,미스유니버스
etc- (131),1980,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,제11대 전두환 대통령 취임
etc- (132),1982,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,"전두환 각하 내외분 케냐,나이지리아,가봉,세네갈 및 카나다 공식 방문"
etc- (133),1983,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,로날드레이건 미합중국 대통령 각하 내외분 방문
etc- (134),1984,관공서 및 단체,단체,공공단체,전매청,서울지하철 2호선 전구간 개통
etc- (135),1984,관공서 및 단체,단체,공공단체,전매청,88올림픽 고속도로 개통
etc- (136),1986,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,제10회 아시아경기대회-마라톤
etc- (137),1986,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,제10회 아시아경기대회-축구
etc- (138),1987,그룹 및 기업광고,그룹광고,그룹PR,한국전매공사,전화 1000만 회선 돌파기념
etc- (139),1988,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,한국전매공사,제13대 노태우  대통령 취임
etc- (140),1988,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,한국전매공사,88서울 올림픽 기념-그네
etc- (141),1988,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,한국전매공사,88서울 올림픽 기념-항원정
etc- (142),1988,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,한국전매공사,88서울 올림픽 기념-국립중앙박물관
etc- (143),1988,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,한국전매공사,89서울 올림픽 기념-경화루
etc- (144),1968,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,간첩 찾아내기 운동
etc- (145),1968,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,전매청,간첩 찾아내기 운동
etc- (146),1987,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,중앙선거관리위원회,제13대 국회의원 선거
etc- (147),1988,관공서 및 단체,단체,공공단체,한국전매공사,올림픽 생활영어
etc- (148),1989,관공서 및 단체,단체,공공단체,한국전매공사,서울지하철 노선도
etc- (149),1991,관공서 및 단체,단체,공공단체,한국담배인삼공사,5대 더하기 운동-음식찌꺼기
etc- (150),1991,관공서 및 단체,단체,공공단체,한국담배인삼공사,5대 더하기 운동-30분 일더하기
etc- (151),1987,관공서 및 단체,단체,공공단체,한국전매공사,미아찾기-정희택
etc- (152),1987,관공서 및 단체,단체,공공단체,한국전매공사,미아찾기-장성원
etc- (153),1987,관공서 및 단체,단체,공공단체,한국전매공사,미아찾기-박현태
etc- (154),1989,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,한국담배인삼공사,충주시 담배
etc- (155),1989,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,한국담배인삼공사,제9회 청주 시민의 날
etc- (156),1989,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,한국담배인삼공사,93국제무역산업박람회는 대전에서
etc- (157),1989,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,한국담배인삼공사,서산군의 담배
etc- (158),1989,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,한국담배인삼공사,태안군의 담배
etc- (159),1989,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,한국담배인삼공사,90년 전국민속예술경연대회 제주
etc- (160),1990,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,한국담배인삼공사,부산담배
etc- (161),1990,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,한국담배인삼공사,해남군 애향담배
etc- (162),1990,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,한국담배인삼공사,자랑스러운 경북
etc- (163),,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,한국담배인삼공사,자랑스러운 경북
etc- (164),1975,정밀기기 및 사무,시계,패션시계,한국시티즌시계,현대인의 맥박 시티즌 브락키
etc- (165),,수송기기,수송기기 기타,수송기기 기업PR,하동환자동차,각종특장차 및 차륜제조
etc- (166),,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화장품,바이스터
etc- (167),,그룹 및 기업광고,그룹광고,그룹PR,고원원양어업,고원원양어업 주식회사
etc- (168),,그룹 및 기업광고,그룹광고,그룹PR,고원원양어업,고원원양어업 주식회사-백두산호
etc- (169),1975,그룹 및 기업광고,그룹광고,그룹PR,광명인쇄공사,광명인쇄공사 창립24주년 1
etc- (170),1975,그룹 및 기업광고,그룹광고,그룹PR,광명인쇄공사,광명인쇄공사 창립24주년 2
etc- (171),,정밀기기 및 사무,시계,패션시계,한국시티즌시계,현대인의 맥박
etc- (172),,제약 및 의료,농축산약제,농약,한국농약주식회사,마세트
etc- (173),,그룹 및 기업광고,그룹광고,그룹PR,한양투자금융,고객의 성원에 감사랍합니다
etc- (174),,그룹 및 기업광고,그룹광고,그룹PR,성도증권,부푼내일 보람찬 투자
etc- (175),,수송기기,수송기기 기타,수송기기 기업PR,하동환자동차,각종특장차 및 차륜제조
etc- (176),,그룹 및 기업광고,그룹광고,그룹PR,한영공업주식회사,"변압기,모타,펌프"
etc- (177),,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,경주시청,신라문화재
etc- (178),,관공서 및 단체,단체,공공단체,국제기능올림픽위원회,제24회국제기능올림픽대회
etc- (179),,그룹 및 기업광고,그룹광고,그룹PR,해운항만청,제4회 해운의 날 기념
etc- (180),1980,관공서 및 단체,단체,민간단체,한국관광호텔,제7회 세계관광의 날 기념
etc- (181),1981,관공서 및 단체,단체,공공단체,안전공사,광복 36주년
etc- (182),1981,관공서 및 단체,단체,민간단체,(사)한국청년회의소,제30차 전국회원대회
etc- (183),,그룹 및 기업광고,그룹광고,그룹PR,가로등,시티 라이트 city Light
etc- (184),1983,그룹 및 기업광고,그룹광고,그룹PR,명동다방,명동다방
etc- (185),1982,관공서 및 단체,단체,공공단체,한국관광협회중앙회,제9회 세계관광의 날 기념
etc- (186),,그룹 및 기업광고,그룹광고,그룹PR,크라운전기교역상사,크라운전기교역상사
etc- (187),,그룹 및 기업광고,그룹광고,그룹PR,명동다방,명동다방
etc- (188),,서비스,음식 및 숙박,호텔,(주)워커힐,쉐라톤워커힐
etc- (189),,그룹 및 기업광고,그룹광고,그룹PR,Poeme,커피숍
etc- (190),,관공서 및 단체,단체,민간단체,한구청년회의소,제31차전국회원대회
etc- (191),,서비스,음식 및 숙박,대중음식점,늘봄공원,숯불갈비 냉면
etc- (192),,그룹 및 기업광고,그룹광고,그룹PR,영월수퍼마,영월수퍼마
etc- (193),1983,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,감사원,개원 제20주년
etc- (194),1983,"금융,보험및 증권",금융 및 보험,손해보험,동방생명보험㈜,단체대형보장보험
etc- (195),1983,"금융,보험및 증권",금융 및 보험,손해보험,동방생명보험㈜,내일을 대비하는 마음이 있는 곳에는
etc- (196),1983,관공서 및 단체,단체,단체기타,국제라이온즈협회,우리는 봉사한다
etc- (197),1983,서비스,음식 및 숙박,호텔,아주산업(주)서교호텔,개관 100일기념
etc- (198),1983,그룹 및 기업광고,그룹광고,그룹PR,한국디젤기기㈜,한국디젤기기
etc- (199),,서비스,음식 및 숙박,호텔,(주)워커힐,쉐라톤워커힐
etc- (200),,그룹 및 기업광고,그룹광고,그룹PR,운남교역회사,운남교역주식회사
etc- (201),1983,관공서 및 단체,중앙 및 지방 관공서,중앙관공서,법무부,제20회 법의날 기념
etc- (202),1983,그룹 및 기업광고,그룹광고,그룹PR,런던사라,런던라사
etc- (203),,그룹 및 기업광고,그룹광고,그룹PR,대우전자남원대리점,대우전자남원대리점
etc- (204),1983,서비스,음식 및 숙박,호텔,㈜소양관광호텔,제1회 소양제
etc- (205),1983,관공서 및 단체,단체,단체기타,국제라이온즈협회,지구회관준공
etc- (206),,그룹 및 기업광고,그룹광고,그룹PR,"㈜유영, ㈜우성","㈜유영, ㈜우성"
etc- (207),,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,남원시청,제53회 춘향제
etc- (208),1983,그룹 및 기업광고,그룹광고,그룹PR,신용협동조합중앙회,신용협동조합세계대회
etc- (209),,수송기기,승합차,소형승합차,기아산업,봉고
etc- (210),1983,그룹 및 기업광고,그룹광고,그룹PR,한국투자금융,창립12주년기념
etc- (211),,서비스,서비스 기타,서비스 기업PR,신남휴게소,신남휴게소
etc- (212),,서비스,서비스 기타,서비스 기업PR,영동레저산업주식회사,소사휴게소(상행선)
etc- (213),,서비스,개인서비스,결혼예식업,가든예식장,여의도 가든예식장
etc- (214),,가정용 전기전자,음향기기,가정용 카세트,문화어연,정철카세트
etc- (215),,수송기기,승합차,소형승합차,기아산업,봉고
etc- (216),,그룹 및 기업광고,그룹광고,그룹PR,㈜한일기업사,고객여러분의 후의에 감사드리며
etc- (217),1983,관공서 및 단체,단체,민간단체,서대전청년회의소,제14차 충남지구JC회원대회
etc- (218),,가정용 전기전자,음향기기,가정용 카세트,문화어연,외국인 대하기가 즐거워졌다
etc- (219),1983,서비스,서비스 기타,서비스 기업PR,신남휴게소,개소 1주년 기념
etc- (220),1983,"건설,건재 및 부동산",부동산 임대 및 매매,상가 임대 및 매매,중앙개발상사,중앙시장 신축상가 개장
etc- (221),,"금융,보험및 증권",금융 및 보험,은행,농협협동조합중앙회,무궁화 저축공제
etc- (222),1983,관공서 및 단체,단체,민간단체,북인천청년회의소,제32차 JCA전국 회원대회
etc- (223),,서비스,여행,여행알선,세진관광,설악산에서 제주도까지
etc- (224),,관공서 및 단체,단체,민간단체,부산동북청년회의소,제14차 부산지구회원대회
etc- (225),,음료 및 기호식품,비알콜음료,콜라,우성식품주식회사,코카콜라 그것 뿐
etc- (226),1983,서비스,서비스 기타,서비스 기업PR,합강제 추진위원회,제1회 합강제
etc- (227),,그룹 및 기업광고,그룹광고,그룹PR,삼성전자(주),국내최초 400만대 생상돌파
etc- (228),1983,그룹 및 기업광고,그룹광고,그룹PR,삼성전자(주),5억불탑 수상기념
etc- (229),,그룹 및 기업광고,그룹광고,그룹PR,기아산업,창림 40주년
etc- (230),1983,그룹 및 기업광고,그룹광고,그룹PR,(주)광주은행,창립 15주년
etc- (231),,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,서울 남부터미널 주식회사,100억 돌파기념
etc- (232),,출판,신문,중앙신문,서울신문사,서울신문
etc- (233),,서비스,음식 및 숙박,호텔,아주산업(주)서교호텔,정성깃든 서어비스
etc- (234),,"금융,보험및 증권","금융,보험 및 증권기타","금융,보험 및 증권 기업PR",동방생명보험㈜,성실과 신뢰로 봉사하는
etc- (235),,서비스,개인서비스,카센터,1급주례정비공장,1급주례정비공장
etc- (236),1984,관공서 및 단체,단체,공공단체,전매청,서울지하철2호선 전구간 개통
etc- (237),,"건설,건재 및 부동산","건설,건재 및 부동산 기타","건설,건재 및 부동산 기업PR",동아콘소시움,리비아 대수로공사
etc- (238),,"금융,보험및 증권","금융,보험 및 증권기타","금융,보험 및 증권 기업PR",안국화재해상보험,VIP와 가족을 위한 상해보험 판매기념
etc- (239),,서비스,음식 및 숙박,대중음식점,옥포 만리장성,옥포 만리장성
etc- (240),,그룹 및 기업광고,그룹광고,그룹PR,새마을주유소,개업 6주년 기념
etc- (241),,수송기기,승합차,소형승합차,기아산업,봉고2
etc- (242),,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,전매청,상공회의소창립 100주년 기념
etc- (243),,서비스,서비스 기타,서비스 기업PR,한계령휴게소,설악의 명소 한계령휴게소
etc- (244),,"금융,보험및 증권",금융 및 보험,손해보험,안국화재해상보험,자동차보험
etc- (245),,기초재,"석탄,석유 및 가스",가스,운암가스,LPG
etc- (246),,"금융,보험및 증권",금융 및 보험,손해보험,한국자동차보험,자동차보험은 역시 한국자동차보험
etc- (247),1985,서비스,운송,버스운송,중앙고속운수(주),안전하고 편안한 중앙고속
etc- (248),1985,제약 및 의료,대사성의약,간장치료제,부광약품공업(주),액체 간장약 레가론
etc- (249),1985,서비스,서비스 기타,서비스 기업PR,철정휴게소,방문기념
etc- (250),1985,관공서 및 단체,단체,공공단체,부산지하철공사,부산지하철 1호선 1단계 구간 개통
etc- (251),1985,서비스,서비스 기타,서비스 기업PR,새유림식당,이전확장개업
etc- (252),1985,서비스,서비스 기타,서비스 기업PR,"용두,신남휴게소","용두,신남주유소"
etc- (253),1985,서비스,음식 및 숙박,호텔,인천올림푸스호텔,희전호텔
etc- (254),1985,서비스,음식 및 숙박,호텔,인천올림푸스호텔,인천올림푸스호텔
etc- (255),1985,"금융,보험및 증권",금융 및 보험,손해보험,한국자동차보험,한국자동차보험㈜
etc- (256),1985,"금융,보험및 증권",금융 및 보험,은행,광주우체국,"체신예금,체신보험"
etc- (257),1985,서비스,음식 및 숙박,대중음식점,석정갈비(광주),석정갈비
etc- (258),1986,관공서 및 단체,단체,단체기타,국제라이온즈협회,제8차 지구 연차대회
etc- (259),1986,서비스,음식 및 숙박,대중음식점,호림식당,호림
etc- (260),1986,서비스,음식 및 숙박,호텔,제주프린스호텔,제주프린스호텔
etc- (261),1986,"금융,보험및 증권","금융,보험 및 증권기타","금융,보험 및 증권 기업PR",서울투자금융,을지로 입구 신사옥
etc- (262),1986,관공서 및 단체,단체,민간단체,중부산청년회의소,1986중부산 컨퍼런스
etc- (263),1986,서비스,서비스 기타,서비스 기업PR,곤지암휴게소,방문기념
etc- (264),1987,서비스,음식 및 숙박,호텔,리오호텔(구미),리오호텔
etc- (265),1986,서비스,서비스 기타,서비스 기업PR,동해휴게소(삼척),동해휴게소
etc- (266),1989,서비스,서비스 기타,서비스 기업PR,동해휴게소(삼척),청주시 출장소개청
etc- (267),1989,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,평택시청,제70회 전국체육대회성원/제4회 평택 시민의 날
etc- (268),1990,관공서 및 단체,단체,민간단체,포항청년회의소,제39차 JC전국회원대회
etc- (269),1988,관공서 및 단체,단체,민간단체,대구수성청년회의소,제7차 대구지구JC회원대회
etc- (270),1987,관공서 및 단체,중앙 및 지방 관공서,지방자치단체,태양종합건설 광주,떠오르는 태양
etc- (271),1987,서비스,서비스 기타,서비스 기업PR,정보통신공사,87정보통신의해
etc- (272),1991,서비스,음식 및 숙박,음식 및 숙박 기타,혁성물산,꼬랑치킨
etc- (273),,관공서 및 단체,단체,민간단체,한인회,미국독립 200주년 축하
etc- (274),1989,관공서 및 단체,단체,민간단체,LA한인회,한국담배인삼공사 기증담배
etc- (275),1976,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,몬트리올올림픽선수단,기증용
etc- (276),1982,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,전매청,광복37주년 기증용
etc- (277),,서비스,운송,항공여객운송,(주)대한항공,증정용
etc- (278),,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,전매청,축 새해 증정용
etc- (279),,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,전매청,전매청장 조충훈 증정
etc- (280),,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,업체불명,대통령선물용
etc- (281),,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,업체불명,대통령 하사연초
etc- (282),,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,전매청,축신년
etc- (283),,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,전매청,대통령선물용2
etc- (284),1966,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,파월장병 하사,월남 전선에서
etc- (285),,화학공업,고무 및 플라스틱,타이어,전매청,한국타이어
etc- (286),,식품,면류,봉지 인스턴트 면류,삼양식품(주),삼양라면
etc- (287),,제약 및 의료,소화위장약,소화제,동아제약(주),베스타제
etc- (288),,식품,제과,스낵,롯데제과(주),하이호 크랙카
etc- (289),,식품,면류,봉지 인스턴트 면류,삼양식품(주),삼양라면
etc- (290),,화학공업,고무 및 플라스틱,타이어,한국타이어(주),한국타이어
etc- (291),1972,식품,제과,껌,롯데제과(주),바브민트껌
etc- (292),1973,패션,패션 기타,패션 기업PR,제일합섬,제일모직
etc- (293),,"금융,보험및 증권",금융 및 보험,은행,농협협동조합중앙회,농협공제
etc- (294),1973,제약 및 의료,진통제 및 안정제,해열 및 진통제,(주)종근당,사리돈
etc- (295),1973,"금융,보험및 증권",금융 및 보험,은행,농협협동조합중앙회,농협공제
etc- (296),1973,"금융,보험및 증권",금융 및 보험,은행,한국산업은행,산업금융채권
etc- (297),1973,패션,패션 기타,패션 기업PR,(주)한일합섬,한일 카시미론
etc- (298),1973,식품,제과,스낵,해태제과식품(주)서울지점,해태 조니 크랙카
etc- (299),1973,가정용 전기전자,냉방 및 공기청정기,선풍기,대한전선,대한 선풍기
etc- (300),1973,그룹 및 기업광고,그룹광고,그룹PR,(주)대농,수출종합상사로 합병
etc- (301),1973,식품,제과,껌,해태제과식품(주)서울지점,해태껌
etc- (302),1973,수송기기,승용자동차,중형승용차,지엠코리아,시보레1700
etc- (303),1973,그룹 및 기업광고,그룹광고,그룹PR,동국제약(주),동국제강
etc- (304),,"금융,보험및 증권",금융 및 보험,은행,주식회사한국주택은행,주택복권
etc- (305),1973,식품,제빵,"빵,케익 및 떡",(주)삼립식품,건강제일 삼립빵
etc- (306),1973,음료 및 기호식품,알콜음료,맥주,크라운맥주,크라운맥주
etc- (307),1973,음료 및 기호식품,알콜음료,맥주,오비맥주(주),OB맥주
etc- (308),1973,제약 및 의료,대사성의약,성인 종합영양제,(주)유한양행,삐콤
etc- (309),1973,그룹 및 기업광고,그룹광고,그룹PR,포항종합제철(주),세계로 뻗는 한국의 철강
etc- (310),,그룹 및 기업광고,그룹광고,그룹PR,(주)미원,미원
etc- (311),1973,음료 및 기호식품,알콜음료,소주,백화양조,더욱 정선된 맛 백화소주
etc- (312),1973,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,암포젤 엠
etc- (313),1973,제약 및 의료,진통제 및 안정제,해열 및 진통제,동화약품공업(주),타리돈
etc- (314),1973,음료 및 기호식품,알콜음료,소주,백화양조,다정한 당신의 벗 백화소주
etc- (315),1973,그룹 및 기업광고,그룹광고,그룹PR,태평양화학,세계로 향한 화장품과 의약품의 메이커
etc- (316),1973,식품,제과,초코릿,(주)오리온,님에게 쪼꼬
etc- (317),1973,그룹 및 기업광고,그룹광고,그룹PR,(주)미도파,(주)미도파
etc- (318),,식품,조미향신료,장류,샘표식품(주),샘표간장-아빠 일찍 들어오세요
etc- (319),1973,패션,패션 신변용품,스타킹,태평특수섬유,캉캉 쌍쌍 팬티 스타킹
etc- (320),1973,식품,조미향신료,설탕 및 꿀,(주)삼양사,삼양설탕 365일 달콤하게
etc- (321),,제약 및 의료,소화위장약,소화제,(주)한독약품,훼스탈
etc- (322),1973,가정용 전기전자,영상기기,TV,금성TV,금성 텔레비전
etc- (323),1973,음료 및 기호식품,알콜음료,소주,(주)진로,진로소주
etc- (324),1973,"금융,보험및 증권",금융 및 보험,은행,한국상업은행(주),고객과 더불어 번영하는
etc- (325),1973,그룹 및 기업광고,그룹광고,그룹PR,쌍용시멘트,쌍용
etc- (326),1973,제약 및 의료,소화위장약,십이지장 및 위궤양제,일양약품(주),노루모
etc- (327),1973,그룹 및 기업광고,그룹광고,그룹PR,(주)코오롱,코오롱
etc- (328),1973,그룹 및 기업광고,그룹광고,그룹PR,기아산업,종합자동차공장가동
