연도,작품명,대분류,소분류
2023,도로 위에선 라이프 캔슬링,보건/안전,안전의식
2023,함께 타면 함께 갑니다.,보건/안전,교통안전
2023,정보화 사회 속 디지털 디바이드,사회적 약자 및 소수자 보호,노인
2023,'메시지'라는 칼에 폭력을 당하고 있습니다,범죄예방,학교폭력
2023,지금 보이는건 지구입니다.,환경/에너지,지구온난화
2023,이 요정은 죽여주는 소원을 들어줍니다,보건/안전,금연
2024,팬더가 되고 싶은 북극곰,환경/에너지,지구온난화
2024,숏폼 중독,보건/안전,정신건강
2024,사소한 적치물 하나가 위급상황엔 치명적인 장애물이 됩니다,보건/안전,안전의식
2024,100점짜리 백지 답안지,범죄예방,피싱/스미싱
2024,당신의 아이를 찾으시오,가정/아동/청소년,자녀 관심/교육
2024,고등학교 13학년입니다,보건/안전,안전의식
2024,무분별한 별점테러 자영업자에겐 재앙입니다,공동체 의식/상생,상생
2024,베드버그,보건/안전,정신건강
2024,저격,범죄예방,디지털 성범죄
2024,잘 보이십니까,사회적 약자 및 소수자 보호,장애인
2024,오늘의 얼굴,환경/에너지,환경보호 의식 개선
2024,대한민국 모든 곳은 어린이 보호구역,보건/안전,교통안전
2024,내가 멸종해봐서 아는데,환경/에너지,환경보호 의식 개선
