번호,기준연월,기준일_범위,이용자구분,단체구분,이용자수
642,2016-03,01일~06일,성인,개인,35
643,2016-03,21일~27일,어린이,개인,11
644,2016-03,21일~27일,청소년,개인,4
645,2016-03,21일~27일,청소년,단체,51
646,2016-03,21일~27일,대학생,개인,7
647,2016-03,21일~27일,성인,개인,32
648,2016-03,28일~31일,어린이,개인,3
649,2016-03,28일~31일,청소년,개인,2
650,2016-03,28일~31일,청소년,단체,94
651,2016-03,28일~31일,대학생,개인,6
652,2016-03,28일~31일,성인,개인,10
653,2016-03,07일~13일,대학생,개인,10
654,2016-03,07일~13일,대학생,단체,14
655,2016-03,07일~13일,성인,개인,43
656,2016-04,11일~17일,어린이,개인,9
657,2016-04,11일~17일,어린이,단체,13
658,2016-04,11일~17일,청소년,단체,130
659,2016-04,11일~17일,대학생,개인,4
660,2016-04,11일~17일,대학생,단체,56
661,2016-04,11일~17일,성인,개인,15
662,2016-04,18일~24일,어린이,개인,3
663,2016-04,18일~24일,청소년,개인,5
664,2016-04,18일~24일,대학생,단체,12
665,2016-04,18일~24일,성인,개인,28
666,2016-04,01일~03일,어린이,개인,5
667,2016-04,01일~03일,청소년,개인,9
668,2016-04,01일~03일,청소년,단체,73
669,2016-04,01일~03일,대학생,개인,11
670,2016-04,01일~03일,대학생,단체,46
671,2016-04,01일~03일,성인,개인,11
672,2016-04,25일~30일,어린이,개인,14
673,2016-04,25일~30일,청소년,개인,5
674,2016-04,25일~30일,청소년,단체,173
675,2016-04,25일~30일,대학생,개인,6
676,2016-04,25일~30일,성인,개인,18
677,2016-04,04일~10일,어린이,개인,4
678,2016-04,04일~10일,청소년,개인,4
679,2016-04,04일~10일,청소년,단체,248
680,2016-04,04일~10일,대학생,개인,19
681,2016-04,04일~10일,대학생,단체,56
682,2016-04,04일~10일,성인,개인,23
683,2016-05,16일~22일,어린이,개인,7
684,2016-05,16일~22일,청소년,개인,13
685,2016-05,16일~22일,청소년,단체,218
686,2016-05,16일~22일,대학생,개인,2
687,2016-05,16일~22일,성인,개인,35
688,2016-05,23일~29일,어린이,개인,6
689,2016-05,23일~29일,청소년,개인,35
690,2016-05,23일~29일,청소년,단체,549
691,2016-05,23일~29일,대학생,개인,4
692,2016-05,23일~29일,성인,개인,85
693,2016-05,02일~08일,어린이,개인,5
694,2016-05,02일~08일,청소년,개인,26
695,2016-05,02일~08일,청소년,단체,55
696,2016-05,02일~08일,대학생,개인,5
697,2016-05,02일~08일,대학생,단체,51
698,2016-05,02일~08일,성인,개인,13
699,2016-05,30일~31일,청소년,단체,63
700,2016-05,30일~31일,성인,개인,3
701,2016-05,09일~15일,어린이,개인,9
702,2016-05,09일~15일,청소년,개인,21
703,2016-05,09일~15일,청소년,단체,163
704,2016-05,09일~15일,대학생,개인,9
705,2016-05,09일~15일,대학생,단체,15
706,2016-05,09일~15일,성인,개인,21
707,2016-06,13일~19일,어린이,개인,7
708,2016-06,13일~19일,어린이,단체,194
709,2016-06,13일~19일,청소년,개인,6
710,2016-06,13일~19일,청소년,단체,88
711,2016-06,13일~19일,대학생,단체,52
712,2016-06,13일~19일,성인,개인,114
713,2016-06,01일~05일,청소년,개인,7
714,2016-06,01일~05일,청소년,단체,109
715,2016-06,01일~05일,대학생,개인,2
716,2016-06,01일~05일,성인,개인,21
717,2016-06,20일~26일,어린이,개인,14
718,2016-06,20일~26일,청소년,개인,1
719,2016-06,20일~26일,청소년,단체,57
720,2016-06,20일~26일,대학생,단체,27
721,2016-06,20일~26일,성인,개인,35
722,2016-06,27일~30일,어린이,개인,2
723,2016-06,27일~30일,성인,개인,31
724,2016-06,06일~12일,어린이,개인,6
725,2016-06,06일~12일,어린이,단체,100
726,2016-06,06일~12일,청소년,개인,15
727,2016-06,06일~12일,청소년,단체,105
728,2016-06,06일~12일,대학생,개인,7
729,2016-06,06일~12일,성인,개인,38
730,2016-06,06일~12일,성인,단체,16
731,2016-07,11일~17일,어린이,개인,7
732,2016-07,11일~17일,어린이,단체,38
733,2016-07,11일~17일,청소년,개인,4
734,2016-07,11일~17일,청소년,단체,263
735,2016-07,11일~17일,대학생,개인,2
736,2016-07,11일~17일,성인,개인,32
737,2016-07,18일~24일,어린이,개인,178
738,2016-07,18일~24일,어린이,단체,39
739,2016-07,18일~24일,청소년,개인,47
740,2016-07,18일~24일,청소년,단체,32
741,2016-07,18일~24일,대학생,개인,7
742,2016-07,18일~24일,성인,개인,198
743,2016-07,01일~03일,어린이,개인,16
744,2016-07,01일~03일,대학생,개인,1
745,2016-07,01일~03일,대학생,단체,11
746,2016-07,01일~03일,성인,개인,33
747,2016-07,25일~31일,어린이,개인,69
748,2016-07,25일~31일,청소년,개인,35
749,2016-07,25일~31일,청소년,단체,15
750,2016-07,25일~31일,대학생,개인,2
751,2016-07,25일~31일,성인,개인,63
752,2016-07,04일~10일,청소년,개인,39
753,2016-07,04일~10일,청소년,단체,27
754,2016-07,04일~10일,대학생,개인,2
755,2016-07,04일~10일,대학생,단체,21
756,2016-07,04일~10일,성인,개인,27
757,2016-08,15일~21일,어린이,개인,71
758,2016-08,15일~21일,어린이,단체,16
759,2016-08,15일~21일,청소년,개인,13
760,2016-08,15일~21일,대학생,개인,6
761,2016-08,15일~21일,성인,개인,81
762,2016-08,01일~07일,어린이,개인,96
763,2016-08,01일~07일,청소년,개인,28
764,2016-08,01일~07일,청소년,단체,46
765,2016-08,01일~07일,대학생,개인,2
766,2016-08,01일~07일,성인,개인,105
767,2016-08,22일~28일,어린이,개인,31
768,2016-08,22일~28일,청소년,개인,6
769,2016-08,22일~28일,청소년,단체,232
770,2016-08,22일~28일,대학생,개인,1
771,2016-08,22일~28일,대학생,단체,14
772,2016-08,22일~28일,성인,개인,36
773,2016-08,29일~31일,청소년,개인,1
774,2016-08,29일~31일,대학생,개인,19
775,2016-08,29일~31일,성인,개인,7
776,2016-08,08일~14일,어린이,개인,82
777,2016-08,08일~14일,청소년,개인,45
778,2016-08,08일~14일,청소년,단체,70
779,2016-08,08일~14일,대학생,개인,6
780,2016-08,08일~14일,성인,개인,85
781,2016-09,12일~18일,어린이,개인,2
782,2016-09,12일~18일,대학생,개인,3
783,2016-09,12일~18일,성인,개인,4
784,2016-09,19일~25일,어린이,개인,24
785,2016-09,19일~25일,청소년,개인,6
786,2016-09,19일~25일,청소년,단체,164
787,2016-09,19일~25일,대학생,개인,5
788,2016-09,19일~25일,대학생,단체,41
789,2016-09,19일~25일,성인,개인,27
790,2016-09,01일~04일,어린이,개인,21
791,2016-09,01일~04일,청소년,개인,5
792,2016-09,01일~04일,청소년,단체,149
793,2016-09,01일~04일,대학생,개인,2
794,2016-09,01일~04일,성인,개인,13
795,2016-09,26일~30일,어린이,개인,4
796,2016-09,26일~30일,청소년,개인,5
797,2016-09,26일~30일,청소년,단체,186
798,2016-09,26일~30일,대학생,개인,20
799,2016-09,26일~30일,성인,개인,34
800,2016-09,05일~11일,어린이,개인,10
801,2016-09,05일~11일,청소년,개인,3
802,2016-09,05일~11일,청소년,단체,186
803,2016-09,05일~11일,대학생,개인,15
804,2016-09,05일~11일,성인,개인,21
805,2016-10,10일~16일,어린이,개인,1
806,2016-10,10일~16일,어린이,단체,43
807,2016-10,10일~16일,청소년,개인,8
808,2016-10,10일~16일,청소년,단체,321
809,2016-10,10일~16일,대학생,개인,9
810,2016-10,10일~16일,성인,개인,18
811,2016-10,17일~23일,어린이,개인,13
812,2016-10,17일~23일,청소년,개인,49
813,2016-10,17일~23일,청소년,단체,195
814,2016-10,17일~23일,대학생,개인,10
815,2016-10,17일~23일,성인,개인,37
816,2016-10,01일~02일,어린이,개인,3
817,2016-10,01일~02일,청소년,단체,12
818,2016-10,01일~02일,대학생,개인,2
819,2016-10,01일~02일,성인,개인,11
820,2016-10,24일~30일,어린이,개인,6
821,2016-10,24일~30일,청소년,개인,1
822,2016-10,24일~30일,청소년,단체,46
823,2016-10,24일~30일,대학생,개인,4
824,2016-10,24일~30일,대학생,단체,34
825,2016-10,24일~30일,성인,개인,25
826,2016-10,24일~30일,성인,단체,50
827,2016-10,03일~09일,어린이,개인,7
828,2016-10,03일~09일,청소년,개인,3
829,2016-10,03일~09일,청소년,단체,196
830,2016-10,03일~09일,대학생,개인,8
831,2016-10,03일~09일,대학생,단체,10
832,2016-10,03일~09일,성인,개인,17
833,2016-11,14일~20일,어린이,개인,2
834,2016-11,14일~20일,청소년,개인,8
835,2016-11,14일~20일,청소년,단체,61
836,2016-11,14일~20일,대학생,개인,11
837,2016-11,14일~20일,대학생,단체,25
838,2016-11,14일~20일,성인,개인,12
839,2016-11,01일~06일,어린이,개인,6
840,2016-11,01일~06일,청소년,개인,18
841,2016-11,01일~06일,청소년,단체,59
842,2016-11,01일~06일,대학생,개인,50
843,2016-11,01일~06일,성인,개인,16
844,2016-11,21일~27일,어린이,개인,4
845,2016-11,21일~27일,청소년,개인,2
846,2016-11,21일~27일,청소년,단체,14
847,2016-11,21일~27일,대학생,개인,18
848,2016-11,21일~27일,대학생,단체,28
849,2016-11,21일~27일,성인,개인,22
850,2016-11,28일~30일,청소년,단체,166
851,2016-11,28일~30일,대학생,개인,1
852,2016-11,28일~30일,성인,개인,20
853,2016-11,07일~13일,어린이,개인,4
854,2016-11,07일~13일,청소년,개인,9
855,2016-11,07일~13일,청소년,단체,114
856,2016-11,07일~13일,대학생,개인,17
857,2016-11,07일~13일,성인,개인,10
858,2016-12,12일~18일,어린이,개인,15
859,2016-12,12일~18일,어린이,단체,24
860,2016-12,12일~18일,청소년,단체,290
861,2016-12,12일~18일,성인,개인,31
862,2016-12,19일~25일,어린이,단체,26
863,2016-12,19일~25일,청소년,개인,3
864,2016-12,19일~25일,청소년,단체,88
865,2016-12,19일~25일,대학생,개인,3
866,2016-12,19일~25일,성인,개인,19
867,2016-12,19일~25일,성인,단체,14
868,2016-12,01일~04일,어린이,개인,12
869,2016-12,01일~04일,청소년,개인,10
870,2016-12,01일~04일,대학생,개인,3
871,2016-12,01일~04일,대학생,단체,49
872,2016-12,01일~04일,성인,개인,24
873,2016-12,26일~31일,어린이,개인,8
874,2016-12,26일~31일,청소년,개인,7
875,2016-12,26일~31일,성인,개인,31
876,2016-12,05일~11일,어린이,개인,10
877,2016-12,05일~11일,어린이,단체,30
878,2016-12,05일~11일,청소년,개인,5
879,2016-12,05일~11일,청소년,단체,260
880,2016-12,05일~11일,대학생,개인,2
881,2016-12,05일~11일,성인,개인,30
882,2017-01,16일~22일,어린이,개인,109
883,2017-01,16일~22일,청소년,개인,9
884,2017-01,16일~22일,대학생,개인,4
885,2017-01,16일~22일,성인,개인,67
886,2017-01,23일~29일,어린이,개인,20
887,2017-01,23일~29일,청소년,개인,5
888,2017-01,23일~29일,성인,개인,23
889,2017-01,02일~08일,어린이,개인,39
890,2017-01,02일~08일,청소년,개인,11
891,2017-01,02일~08일,대학생,개인,7
892,2017-01,02일~08일,성인,개인,64
893,2017-01,30일~31일,어린이,개인,29
894,2017-01,30일~31일,청소년,개인,2
895,2017-01,30일~31일,성인,개인,16
896,2017-01,09일~15일,어린이,개인,29
897,2017-01,09일~15일,어린이,단체,17
898,2017-01,09일~15일,청소년,개인,14
899,2017-01,09일~15일,대학생,개인,3
900,2017-01,09일~15일,성인,개인,24
901,2017-02,13일~19일,어린이,개인,17
902,2017-02,13일~19일,청소년,개인,9
903,2017-02,13일~19일,대학생,개인,3
904,2017-02,13일~19일,성인,개인,40
905,2017-02,13일~19일,성인,단체,21
906,2017-02,01일~05일,어린이,개인,27
907,2017-02,01일~05일,어린이,단체,25
908,2017-02,01일~05일,청소년,개인,7
909,2017-02,01일~05일,대학생,개인,2
910,2017-02,01일~05일,성인,개인,33
911,2017-02,01일~05일,성인,단체,21
912,2017-02,20일~26일,어린이,개인,10
913,2017-02,20일~26일,청소년,개인,2
914,2017-02,20일~26일,대학생,개인,1
915,2017-02,20일~26일,성인,개인,33
916,2017-02,27일~28일,어린이,개인,2
917,2017-02,27일~28일,청소년,개인,4
918,2017-02,27일~28일,대학생,개인,5
919,2017-02,27일~28일,성인,개인,4
920,2017-02,06일~12일,어린이,개인,23
921,2017-02,06일~12일,청소년,개인,3
922,2017-02,06일~12일,대학생,개인,1
923,2017-02,06일~12일,성인,개인,59
924,2017-03,13일~19일,어린이,개인,16
925,2017-03,13일~19일,청소년,개인,2
926,2017-03,13일~19일,대학생,개인,3
927,2017-03,13일~19일,성인,개인,46
928,2017-03,01일~05일,어린이,개인,8
929,2017-03,01일~05일,청소년,개인,2
930,2017-03,01일~05일,대학생,개인,1
931,2017-03,01일~05일,성인,개인,18
932,2017-03,20일~26일,어린이,개인,16
933,2017-03,20일~26일,청소년,개인,6
934,2017-03,20일~26일,청소년,단체,21
935,2017-03,20일~26일,성인,개인,42
936,2017-03,27일~31일,어린이,개인,2
937,2017-03,27일~31일,청소년,단체,90
938,2017-03,27일~31일,대학생,개인,18
939,2017-03,27일~31일,성인,개인,17
940,2017-03,06일~12일,어린이,개인,14
941,2017-03,06일~12일,성인,개인,66
942,2017-04,10일~16일,어린이,개인,4
943,2017-04,10일~16일,청소년,개인,4
944,2017-04,10일~16일,청소년,단체,109
945,2017-04,10일~16일,대학생,개인,6
946,2017-04,10일~16일,성인,개인,20
947,2017-04,17일~23일,어린이,개인,10
948,2017-04,17일~23일,청소년,개인,2
949,2017-04,17일~23일,청소년,단체,83
950,2017-04,17일~23일,대학생,개인,5
951,2017-04,17일~23일,대학생,단체,8
952,2017-04,17일~23일,성인,개인,49
953,2017-04,17일~23일,성인,단체,119
954,2017-04,01일~02일,어린이,개인,6
955,2017-04,01일~02일,청소년,개인,2
956,2017-04,01일~02일,대학생,개인,15
957,2017-04,01일~02일,성인,개인,12
958,2017-04,24일~30일,어린이,개인,5
959,2017-04,24일~30일,청소년,개인,27
960,2017-04,24일~30일,청소년,단체,217
961,2017-04,24일~30일,대학생,개인,1
962,2017-04,24일~30일,대학생,단체,15
963,2017-04,24일~30일,성인,개인,26
964,2017-04,03일~09일,어린이,개인,24
965,2017-04,03일~09일,청소년,개인,7
966,2017-04,03일~09일,청소년,단체,73
967,2017-04,03일~09일,대학생,개인,21
968,2017-04,03일~09일,대학생,단체,105
969,2017-04,03일~09일,성인,개인,29
970,2017-05,15일~21일,어린이,개인,3
971,2017-05,15일~21일,청소년,개인,15
972,2017-05,15일~21일,청소년,단체,102
973,2017-05,15일~21일,대학생,개인,5
974,2017-05,15일~21일,대학생,단체,19
975,2017-05,15일~21일,성인,개인,24
976,2017-05,01일~07일,어린이,개인,8
977,2017-05,01일~07일,청소년,개인,16
978,2017-05,01일~07일,청소년,단체,180
979,2017-05,01일~07일,대학생,개인,2
980,2017-05,01일~07일,성인,개인,24
981,2017-05,22일~28일,어린이,개인,13
982,2017-05,22일~28일,어린이,단체,93
983,2017-05,22일~28일,청소년,개인,12
984,2017-05,22일~28일,청소년,단체,159
985,2017-05,22일~28일,대학생,개인,3
986,2017-05,22일~28일,대학생,단체,21
987,2017-05,22일~28일,성인,개인,29
988,2017-05,22일~28일,성인,단체,30
989,2017-05,29일~31일,청소년,단체,54
990,2017-05,29일~31일,대학생,단체,28
991,2017-05,29일~31일,성인,개인,8
992,2017-05,08일~14일,어린이,개인,13
993,2017-05,08일~14일,청소년,개인,11
994,2017-05,08일~14일,청소년,단체,244
995,2017-05,08일~14일,대학생,개인,10
996,2017-05,08일~14일,성인,개인,32
997,2017-06,12일~18일,어린이,개인,1
998,2017-06,12일~18일,어린이,단체,24
999,2017-06,12일~18일,청소년,개인,26
1000,2017-06,12일~18일,청소년,단체,78
1001,2017-06,12일~18일,대학생,개인,2
1002,2017-06,12일~18일,성인,개인,27
1003,2017-06,19일~25일,어린이,개인,22
1004,2017-06,19일~25일,청소년,개인,14
1005,2017-06,19일~25일,청소년,단체,105
1006,2017-06,19일~25일,대학생,개인,1
1007,2017-06,19일~25일,성인,개인,18
1008,2017-06,01일~04일,어린이,개인,6
1009,2017-06,01일~04일,청소년,개인,1
1010,2017-06,01일~04일,청소년,단체,129
1011,2017-06,01일~04일,대학생,개인,4
1012,2017-06,01일~04일,성인,개인,16
1013,2017-06,26일~30일,어린이,단체,11
1014,2017-06,26일~30일,대학생,개인,4
1015,2017-06,26일~30일,대학생,단체,15
1016,2017-06,26일~30일,성인,개인,8
1017,2017-06,26일~30일,성인,단체,21
1018,2017-06,05일~11일,어린이,개인,13
1019,2017-06,05일~11일,청소년,개인,9
1020,2017-06,05일~11일,청소년,단체,72
1021,2017-06,05일~11일,성인,개인,46
1022,2017-07,10일~16일,어린이,개인,10
1023,2017-07,10일~16일,어린이,단체,31
1024,2017-07,10일~16일,청소년,개인,23
1025,2017-07,10일~16일,청소년,단체,214
1026,2017-07,10일~16일,대학생,개인,2
1027,2017-07,10일~16일,성인,개인,35
1028,2017-07,17일~23일,어린이,개인,12
1029,2017-07,17일~23일,어린이,단체,30
1030,2017-07,17일~23일,청소년,개인,13
1031,2017-07,17일~23일,청소년,단체,80
1032,2017-07,17일~23일,대학생,개인,2
1033,2017-07,17일~23일,대학생,단체,8
1034,2017-07,17일~23일,성인,개인,32
1035,2017-07,01일~02일,어린이,개인,2
1036,2017-07,01일~02일,청소년,개인,2
1037,2017-07,01일~02일,대학생,개인,1
1038,2017-07,01일~02일,성인,개인,5
1039,2017-07,24일~30일,어린이,개인,130
1040,2017-07,24일~30일,청소년,개인,43
1041,2017-07,24일~30일,청소년,단체,46
1042,2017-07,24일~30일,대학생,개인,2
1043,2017-07,24일~30일,성인,개인,103
1044,2017-07,03일~09일,어린이,개인,8
1045,2017-07,03일~09일,청소년,개인,1
1046,2017-07,03일~09일,청소년,단체,39
1047,2017-07,03일~09일,대학생,개인,9
1048,2017-07,03일~09일,성인,개인,28
1049,2017-08,14일~20일,어린이,개인,112
1050,2017-08,14일~20일,청소년,개인,10
1051,2017-08,14일~20일,청소년,단체,49
1052,2017-08,14일~20일,대학생,개인,2
1053,2017-08,14일~20일,성인,개인,93
1054,2017-08,01일~06일,어린이,개인,79
1055,2017-08,01일~06일,청소년,개인,24
1056,2017-08,01일~06일,청소년,단체,43
1057,2017-08,01일~06일,대학생,개인,8
1058,2017-08,01일~06일,성인,개인,93
1059,2017-08,01일~06일,성인,단체,30
1060,2017-08,21일~27일,어린이,개인,40
1061,2017-08,21일~27일,어린이,단체,54
1062,2017-08,21일~27일,청소년,개인,9
1063,2017-08,21일~27일,청소년,단체,87
1064,2017-08,21일~27일,대학생,개인,4
1065,2017-08,21일~27일,성인,개인,37
1066,2017-08,28일~31일,어린이,개인,7
1067,2017-08,28일~31일,청소년,개인,4
1068,2017-08,28일~31일,청소년,단체,60
1069,2017-08,28일~31일,대학생,단체,16
1070,2017-08,28일~31일,성인,개인,23
1071,2017-08,07일~13일,어린이,개인,49
1072,2017-08,07일~13일,청소년,개인,35
1073,2017-08,07일~13일,청소년,단체,118
1074,2017-08,07일~13일,대학생,개인,1
1075,2017-08,07일~13일,성인,개인,58
1076,2017-09,11일~17일,어린이,개인,27
1077,2017-09,11일~17일,어린이,단체,265
1078,2017-09,11일~17일,청소년,개인,6
1079,2017-09,11일~17일,청소년,단체,64
1080,2017-09,11일~17일,대학생,개인,4
1081,2017-09,11일~17일,대학생,단체,80
1082,2017-09,11일~17일,성인,개인,21
1083,2017-09,18일~24일,어린이,개인,6
1084,2017-09,18일~24일,어린이,단체,34
1085,2017-09,18일~24일,청소년,개인,1
1086,2017-09,18일~24일,청소년,단체,121
1087,2017-09,18일~24일,대학생,개인,8
1088,2017-09,18일~24일,성인,개인,51
1089,2017-09,01일~03일,어린이,개인,13
1090,2017-09,01일~03일,청소년,개인,16
1091,2017-09,01일~03일,대학생,개인,4
1092,2017-09,01일~03일,성인,개인,5
1093,2017-09,25일~30일,어린이,개인,4
1094,2017-09,25일~30일,청소년,개인,7
1095,2017-09,25일~30일,청소년,단체,279
1096,2017-09,25일~30일,대학생,단체,30
1097,2017-09,25일~30일,성인,개인,8
1098,2017-09,04일~10일,어린이,개인,26
1099,2017-09,04일~10일,어린이,단체,108
1100,2017-09,04일~10일,청소년,개인,8
1101,2017-09,04일~10일,청소년,단체,315
1102,2017-09,04일~10일,대학생,개인,4
1103,2017-09,04일~10일,성인,개인,36
1104,2017-10,16일~22일,어린이,개인,5
1105,2017-10,16일~22일,청소년,개인,13
1106,2017-10,16일~22일,청소년,단체,236
1107,2017-10,16일~22일,대학생,개인,4
1108,2017-10,16일~22일,성인,개인,36
1109,2017-10,23일~29일,어린이,개인,18
1110,2017-10,23일~29일,어린이,단체,100
1111,2017-10,23일~29일,청소년,개인,8
1112,2017-10,23일~29일,청소년,단체,204
1113,2017-10,23일~29일,대학생,개인,14
1114,2017-10,23일~29일,성인,개인,33
1115,2017-10,30일~31일,성인,개인,5
1116,2017-10,09일~15일,어린이,개인,9
1117,2017-10,09일~15일,어린이,단체,93
1118,2017-10,09일~15일,청소년,개인,5
1119,2017-10,09일~15일,청소년,단체,54
1120,2017-10,09일~15일,대학생,개인,7
1121,2017-10,09일~15일,성인,개인,26
1122,2017-11,13일~19일,어린이,개인,32
1123,2017-11,13일~19일,어린이,단체,146
1124,2017-11,13일~19일,청소년,개인,64
1125,2017-11,13일~19일,청소년,단체,106
1126,2017-11,13일~19일,대학생,개인,56
1127,2017-11,13일~19일,성인,개인,184
1128,2017-11,01일~05일,어린이,개인,38
1129,2017-11,01일~05일,청소년,개인,14
1130,2017-11,01일~05일,청소년,단체,20
1131,2017-11,01일~05일,대학생,개인,6
1132,2017-11,01일~05일,대학생,단체,21
1133,2017-11,01일~05일,성인,개인,124
1134,2017-11,20일~26일,어린이,개인,21
1135,2017-11,20일~26일,청소년,개인,70
1136,2017-11,20일~26일,청소년,단체,48
1137,2017-11,20일~26일,대학생,개인,70
1138,2017-11,20일~26일,대학생,단체,43
1139,2017-11,20일~26일,성인,개인,122
1140,2017-11,27일~30일,청소년,개인,37
1141,2017-11,27일~30일,청소년,단체,64
1142,2017-11,27일~30일,대학생,개인,35
1143,2017-11,27일~30일,대학생,단체,50
1144,2017-11,27일~30일,성인,개인,36
1145,2017-11,06일~12일,어린이,개인,11
1146,2017-11,06일~12일,청소년,개인,49
1147,2017-11,06일~12일,청소년,단체,92
1148,2017-11,06일~12일,대학생,개인,69
1149,2017-11,06일~12일,대학생,단체,44
1150,2017-11,06일~12일,성인,개인,145
1151,2017-11,06일~12일,성인,단체,30
1152,2017-12,11일~17일,어린이,개인,4
1153,2017-12,11일~17일,청소년,개인,58
1154,2017-12,11일~17일,청소년,단체,595
1155,2017-12,11일~17일,대학생,개인,5
1156,2017-12,11일~17일,대학생,단체,20
1157,2017-12,11일~17일,성인,개인,20
1158,2017-12,18일~24일,어린이,개인,31
1159,2017-12,18일~24일,청소년,개인,104
1160,2017-12,18일~24일,청소년,단체,100
1161,2017-12,18일~24일,대학생,단체,15
1162,2017-12,18일~24일,성인,개인,22
1163,2017-12,01일~03일,어린이,개인,15
1164,2017-12,01일~03일,청소년,개인,29
1165,2017-12,01일~03일,청소년,단체,110
1166,2017-12,01일~03일,대학생,개인,8
1167,2017-12,01일~03일,성인,개인,46
1168,2017-12,25일~31일,어린이,개인,7
1169,2017-12,25일~31일,청소년,개인,5
1170,2017-12,25일~31일,대학생,개인,3
1171,2017-12,25일~31일,성인,개인,25
1172,2017-12,04일~10일,어린이,개인,5
1173,2017-12,04일~10일,어린이,단체,80
1174,2017-12,04일~10일,청소년,개인,2
1175,2017-12,04일~10일,청소년,단체,241
1176,2017-12,04일~10일,대학생,개인,7
1177,2017-12,04일~10일,대학생,단체,15
1178,2017-12,04일~10일,성인,개인,38
1179,2018-01,15일~21일,어린이,개인,85
1180,2018-01,15일~21일,청소년,개인,8
1181,2018-01,15일~21일,청소년,단체,12
1182,2018-01,15일~21일,대학생,개인,5
1183,2018-01,15일~21일,성인,개인,50
1184,2018-01,01일~07일,어린이,개인,81
1185,2018-01,01일~07일,청소년,개인,6
1186,2018-01,01일~07일,대학생,개인,1
1187,2018-01,01일~07일,성인,개인,37
1188,2018-01,22일~28일,어린이,개인,48
1189,2018-01,22일~28일,어린이,단체,47
1190,2018-01,22일~28일,청소년,개인,6
1191,2018-01,22일~28일,대학생,개인,2
1192,2018-01,22일~28일,성인,개인,50
1193,2018-01,29일~31일,어린이,개인,8
1194,2018-01,29일~31일,청소년,개인,4
1195,2018-01,29일~31일,성인,개인,8
1196,2018-01,08일~14일,어린이,개인,39
1197,2018-01,08일~14일,청소년,개인,4
1198,2018-01,08일~14일,대학생,개인,1
1199,2018-01,08일~14일,성인,개인,23
1200,2018-02,12일~18일,어린이,개인,3
1201,2018-02,12일~18일,청소년,개인,5
1202,2018-02,12일~18일,성인,개인,5
1203,2018-02,19일~25일,어린이,개인,54
1204,2018-02,19일~25일,어린이,단체,5
1205,2018-02,19일~25일,청소년,개인,8
1206,2018-02,19일~25일,청소년,단체,44
1207,2018-02,19일~25일,대학생,개인,5
1208,2018-02,19일~25일,성인,개인,28
1209,2018-02,01일~04일,어린이,개인,1
1210,2018-02,01일~04일,청소년,개인,2
1211,2018-02,01일~04일,대학생,개인,3
1212,2018-02,01일~04일,성인,개인,6
1213,2018-02,26일~28일,어린이,개인,3
1214,2018-02,26일~28일,청소년,개인,2
1215,2018-02,26일~28일,성인,개인,9
1216,2018-02,05일~11일,어린이,개인,8
1217,2018-02,05일~11일,어린이,단체,16
1218,2018-02,05일~11일,청소년,개인,1
1219,2018-02,05일~11일,대학생,개인,3
1220,2018-02,05일~11일,성인,개인,18
1221,2018-03,12일~18일,어린이,개인,3
1222,2018-03,12일~18일,청소년,개인,2
1223,2018-03,12일~18일,대학생,개인,1
1224,2018-03,12일~18일,성인,개인,24
1225,2018-03,19일~25일,어린이,개인,6
1226,2018-03,19일~25일,청소년,개인,8
1227,2018-03,19일~25일,청소년,단체,10
1228,2018-03,19일~25일,대학생,개인,6
1229,2018-03,19일~25일,성인,개인,21
1230,2018-03,01일~04일,어린이,개인,2
1231,2018-03,01일~04일,청소년,개인,2
1232,2018-03,01일~04일,대학생,개인,1
1233,2018-03,01일~04일,성인,개인,5
1234,2018-03,26일~31일,어린이,개인,2
1235,2018-03,26일~31일,청소년,개인,5
1236,2018-03,26일~31일,청소년,단체,22
1237,2018-03,26일~31일,대학생,개인,15
1238,2018-03,26일~31일,대학생,단체,61
1239,2018-03,26일~31일,성인,개인,17
1240,2018-03,05일~11일,어린이,개인,8
1241,2018-03,05일~11일,어린이,단체,17
1242,2018-03,05일~11일,청소년,개인,1
1243,2018-03,05일~11일,성인,개인,26
1244,2018-03,05일~11일,성인,단체,11
1245,2018-04,16일~22일,어린이,개인,10
1246,2018-04,16일~22일,성인,개인,35
1247,2018-04,1일,어린이,개인,1
1248,2018-04,1일,대학생,개인,2
1249,2018-04,1일,성인,개인,1
1250,2018-04,23일~29일,어린이,개인,5
1251,2018-04,23일~29일,어린이,단체,47
1252,2018-04,23일~29일,청소년,단체,114
1253,2018-04,23일~29일,대학생,개인,3
1254,2018-04,23일~29일,성인,개인,39
1255,2018-04,02일~08일,어린이,개인,6
1256,2018-04,02일~08일,청소년,개인,9
1257,2018-04,02일~08일,청소년,단체,79
1258,2018-04,02일~08일,대학생,개인,25
1259,2018-04,02일~08일,대학생,단체,18
1260,2018-04,02일~08일,성인,개인,37
1261,2018-04,30일,청소년,단체,30
1262,2018-04,09일~15일,어린이,개인,10
1263,2018-04,09일~15일,어린이,단체,13
1264,2018-04,09일~15일,청소년,단체,176
1265,2018-04,09일~15일,대학생,개인,1
1266,2018-04,09일~15일,성인,개인,26
1267,2018-05,14일~20일,어린이,개인,5
1268,2018-05,14일~20일,어린이,단체,12
1269,2018-05,14일~20일,청소년,개인,23
1270,2018-05,14일~20일,청소년,단체,265
