파일명,년도,광고주,대분류,중분류,소분류,제품명,제목,대행사
A2A00166.wma,1995,(주)풀무원,음료 및 기호식품,비알콜음료,생수,샘물,청정지역,(주)제일기획
A2A00168.wma,,조선맥주,음료 및 기호식품,알콜음료,맥주,하이트,온도계,(주)제일기획
A2A00169.wma,,제일제당,음료 및 기호식품,비알콜음료,비알콜음료 기타,하이칼스,이럴때,(주)제일기획
A2A00172.wma,,(주)금복주,음료 및 기호식품,알콜음료,탁주 및 전통주,경주법주,고향의소리,(주)제일기획
A2A00177.wma,1995,동서식품(주),음료 및 기호식품,기호식품,커피 및 커피믹스,리치아로마,좋은커피는향기가다르다,(주)제일기획
A2A00180.wma,1996,건영식품(주),음료 및 기호식품,비알콜음료,기타 과실음료,가야당근농장,100%당근,(주)제일기획
A2A00181.wma,1996,경주법주(주),음료 및 기호식품,알콜음료,탁주 및 전통주,화랑,찹쌀술,(주)제일기획
A2A00182.wma,1996,경주법주(주),음료 및 기호식품,알콜음료,알콜음료 제품종합,선물셋트,변함없는명주,(주)제일기획
A2A00183.wma,1996,조선맥주,음료 및 기호식품,알콜음료,맥주,하이트,대표편,(주)제일기획
A2A00186.wma,,제일제당,음료 및 기호식품,비알콜음료,기능성건강음료,솔의눈,도시인을위한음료,(주)제일기획
A2A00187.wma,1996,(주)풀무원,음료 및 기호식품,비알콜음료,생수,샘물,믿음편,(주)제일기획
A2A00188.wma,1996,동서식품(주),음료 및 기호식품,기호식품,커피크리머,프리마,식물성프리마,(주)제일기획
A2A00191.wma,,건영식품(주),음료 및 기호식품,비알콜음료,생수,샘물,속리산지하,(주)제일기획
A2A00193.wma,1996,동서식품(주),음료 및 기호식품,기호식품,커피 및 커피믹스,리치아로마,좋은처피는향기가다르다,(주)제일기획
A2A00195.wma,,조선맥주,음료 및 기호식품,알콜음료,맥주,하이트,물사랑,(주)제일기획
A2A00196.wma,,동서식품(주),음료 및 기호식품,기호식품,커피크리머,프리마,외식,(주)제일기획
A2A00197.wma,1996,제일제당,음료 및 기호식품,비알콜음료,기능성건강음료,솔의눈,머리를쉬게하자,(주)제일기획
A2A00200.wma,,동서식품(주),음료 및 기호식품,기호식품,커피 및 커피믹스,맥심,커피다운커피,(주)제일기획
A2A00202.wma,1996,한미약품공업(주),음료 및 기호식품,음료 및 기호식품 기타,음료 및 기호식품 기타,미스틱,패션음료,(주)제일기획
A2A00204.wma,1996,(주)풀무원,음료 및 기호식품,비알콜음료,기능성건강음료,녹즙,좋은녹즙,(주)제일기획
A2A00205.wma,1996,제일제당,음료 및 기호식품,비알콜음료,스포츠음료,게토레이,마셔요게토레이,(주)제일기획
A2A00206.wma,1996,동서식품(주),음료 및 기호식품,기호식품,커피 및 커피믹스,뉴맥심,커피향,(주)제일기획
A2A00208.wma,1997,동서식품(주),음료 및 기호식품,기호식품,커피크리머,프리마,아내는아름답다,(주)제일기획
A2A00209.wma,1997,(주)진로,음료 및 기호식품,비알콜음료,생수,석수,진실한물,(주)제일기획
A2A00210.wma,1997,동서식품(주),음료 및 기호식품,기호식품,커피크리머,프리마,음악편,(주)제일기획
A2A00220.wma,,매일유업(주),음료 및 기호식품,비알콜음료,액상요구르트,매일비피더스요구르트,탄생편,
A2A00221.wma,,무학주조,음료 및 기호식품,알콜음료,포도주 및 과실주,무학매화,전통매실주,C&Q
A2A00222.wma,,무학주조,음료 및 기호식품,알콜음료,포도주 및 과실주,무학매화,생활이부드러워진다,C&Q
A2A00223.wma,,무학주조,음료 및 기호식품,알콜음료,포도주 및 과실주,무학매화,정말괜찮은술이거든요,C&Q
A2A00225.wma,,해태음료(주),음료 및 기호식품,비알콜음료,기타 과실음료,전원메론,제별명이바뀌었어요,한국비젼
A2A00226.wma,,매일유업(주),음료 및 기호식품,비알콜음료,기타 과실음료,썬업100,단순히차게해서파는게아니에요,안인기획
A2A00236.wma,1994,오비맥주(주),음료 및 기호식품,알콜음료,맥주,아이스맥주,공법의비밀을찾아라,
A2A00240.wma,1994,오비맥주(주),음료 및 기호식품,알콜음료,맥주,넥스,소비자가선택한맥주,
A2A00243.wma,1994,(주)비락,음료 및 기호식품,비알콜음료,전통음료,비락,겨울에도인기입니다,
A2A00244.wma,1994,오비맥주(주),음료 및 기호식품,알콜음료,맥주,넥스,소비자가찾아주신,
A2A00247.wma,1995,오비맥주(주),음료 및 기호식품,알콜음료,맥주,넥스,우린공통점이많아요,
A2A00248.wma,1995,오비맥주(주),음료 및 기호식품,알콜음료,맥주,넥스,참깨끗합니다,
A2A00249.wma,1995,오비맥주(주),음료 및 기호식품,알콜음료,맥주,넥스,성취감편,
A2A00269.wma,,진로쿠어스,음료 및 기호식품,알콜음료,맥주,카스,겨울,(주)엘지애드
A2A00272.wma,1992,(주)빙그레,음료 및 기호식품,비알콜음료,액상요구르트,요플러스,프로는요플러스,삼희기획
A2A00274.wma,1994,(주)일화,음료 및 기호식품,비알콜음료,사이다,천연사이다,100%천연광천수,삼희기획
A2A00275.wma,,서주산업(주),음료 및 기호식품,비알콜음료,액상요구르트,토코요구르트,사과가상큼하게씹힌다,나라기획
A2A00285.wma,1992,롯데칠성음료(주),음료 및 기호식품,비알콜음료,오렌지주스,프리미엄쥬스,장유진편,(주)대홍기획
A2A00286.wma,1992,롯데칠성음료(주),음료 및 기호식품,비알콜음료,오렌지주스,프리미엄쥬스,배한성편,(주)대홍기획
A2A00287.wma,1992,롯데칠성음료(주),음료 및 기호식품,비알콜음료,오렌지주스,프리미엄쥬스,송도순편,(주)대홍기획
A2A00288.wma,1992,롯데칠성음료(주),음료 및 기호식품,비알콜음료,기능성건강음료,헬시카,목을위해태어났다,(주)대홍기획
A2A00294.wma,1992,한국식품개발(주),음료 및 기호식품,비알콜음료,기능성건강음료,생칡수,칡고유의맛,(주)대홍기획
A2A00297.wma,1993,롯데칠성음료(주),음료 및 기호식품,비알콜음료,콜라,펩시콜라,마이클잭슨,(주)대홍기획
A2A00302.wma,1993,롯데칠성음료(주),음료 및 기호식품,비알콜음료,두유,비타두유,사무실대화,(주)대홍기획
A2A00317.wma,,오비맥주(주),음료 및 기호식품,알콜음료,맥주,OB라거,랄랄라1차,(주)오리콤
A2A00320.wma,,서울우유협동조합,음료 및 기호식품,비알콜음료,기타 과실음료,아침에쥬스,아침엔아침에쥬스,(주)금강기획
A2A00321.wma,,해태음료(주),음료 및 기호식품,비알콜음료,액상요구르트,요키스,예쁘게마시고예쁘게사세요,
A2A00326.wma,,롯데칠성음료(주),음료 및 기호식품,기호식품,커피 및 커피믹스,헤이즐럿,원두커피편,(주)대홍기획
A2A00449.wma,1985,한서식품,음료 및 기호식품,비알콜음료,믹스음료,마일로,여름엔시원하게,
A2A00462.wma,1985,한서유업,음료 및 기호식품,비알콜음료,두유,한서밀,맛과영양의단백한알카리식품,
A2A00463.wma,1985,한서유업,음료 및 기호식품,비알콜음료,두유,한서밀,새로운두유탄생,
A2A00464.wma,1985,태웅식품(주),음료 및 기호식품,기호식품,국산차,흑고녹지,밝은생활을위해,
A2A00466.wma,1985,삼육식품,음료 및 기호식품,비알콜음료,두유,삼육두유,자연의영양이듬북든,
A2A00473.wma,1985,삼육식품,음료 및 기호식품,비알콜음료,두유,삼육두유,건강선물대잔치,
A2A00479.wma,1986,일양약품(주),음료 및 기호식품,비알콜음료,기능성건강음료,영비천,감사와은혜의선물,
A2A00482.wma,1985,경주법주(주),음료 및 기호식품,알콜음료,탁주 및 전통주,경주법주,우리고유의술경주법주,
A3000165.wma,,일양약품(주),음료 및 기호식품,비알콜음료,기능성건강음료,영비천,영비균사체,(주)대방기획
A3000189.wma,,일양약품(주),음료 및 기호식품,비알콜음료,기능성건강음료,영비천선물세트,고마운분들께,(주)대방기획
A3000190.wma,,일양약품(주),음료 및 기호식품,비알콜음료,기능성건강음료,영비천,우주비행사편,(주)대방기획
A3A00087.wma,1996,광동제약(주),음료 및 기호식품,비알콜음료,알콜음료 기타,솔바람,도시에진한바람이분다,시네파워
AKA00124.wma,,진로쿠어스,음료 및 기호식품,알콜음료,맥주,카스,가족시리즈2,(주)엘지애드
AKA00125.wma,,진로쿠어스,음료 및 기호식품,알콜음료,맥주,카스,가족시리즈31,(주)엘지애드
radio2000_010.mp3,,(주)농심,음료 및 기호식품,비알콜음료,생수,제주삼다수,화산암반수 제주삼다수,(주)농심기획
radio2000_029.mp3,,(주)국순당,음료 및 기호식품,알콜음료,소주,백세주선물세트,좋은 술의 고집,(주)휘닉스커뮤니케이션즈
radio2000_030.mp3,,동서식품(주),음료 및 기호식품,기호식품,커피 및 커피믹스,맥심,"새로와진 맥심, 다양하게 즐기세요",(주)제일기획
radio2000_031.mp3,,동서식품(주),음료 및 기호식품,기호식품,커피 및 커피믹스,맥심커피믹스,내 커피는 내맘대로,(주)제일기획
radio2000_033.mp3,,매일유업(주),음료 및 기호식품,비알콜음료,액상요구르트,장에는 GG,특허받은 유산균,에드벤쳐
radio2000_034.mp3,,웅진식품(주),음료 및 기호식품,비알콜음료,비알콜음료 기타,하늘보리,순수보리가 열을 끈다 순수보리차,웰컴
radio2000_035.mp3,,(주)일화,음료 및 기호식품,비알콜음료,사이다,천연사이다(김국진편),초정리광천수 사이다,(주)휘닉스커뮤니케이션즈
radio2000_036.mp3,,(주)하이트맥주,음료 및 기호식품,알콜음료,맥주,하이트,리듬을 타야 맛있다,
radio2000_037.mp3,,(주)하이트맥주,음료 및 기호식품,비알콜음료,생수,퓨리스,"먹는 샘물, 자연이 내린 암반수",애드벤쳐
radio2000_038.mp3,,한국네슬레(주)서울지점,음료 및 기호식품,기호식품,커피 및 커피믹스,테이스터스 초이스 오리지날 초이스,"나의 선택, 나의 초이스",맥켄에릭슨
radio2000_039.mp3,,한국코카콜라보틀링,음료 및 기호식품,비알콜음료,콜라,코카콜라,우리함께 즐겨요,맥켄에릭슨
radio2000_040.mp3,,한미약품공업(주),음료 및 기호식품,비알콜음료,믹스음료,위퍼스내플,섞이면 신난다,(주)엘지애드
radio2000_041.mp3,,오비맥주(주),음료 및 기호식품,알콜음료,맥주,OB라이트,기분이 가벼워지는 순간,웰컴
A2A00212.wma,,(주)대웅제약,제약 및 의료,대사성의약,자양강장제,활기삼,진시왕이따로있나,동영
A2A00455.wma,1986,세동산업,제약 및 의료,대사성의약,자양강장제,인삼녹용드링크,신제품개발,
A2A00456.wma,1985,세동산업,제약 및 의료,대사성의약,자양강장제,인삼녹용드링크,신제품개발,
A3000002.wma,,부광약품공업(주),제약 및 의료,소화위장약,변비치료제,아락실,냉수편,(주)제일기획
A3000003.wma,,광동제약(주),제약 및 의료,소화위장약,소화제,생록수,마시는 소화위장약,(주)제일기획
A3000005.wma,,동아제약(주),제약 및 의료,생리피임 및 치질용약,세정제,락타시드,젖산성분,(주)MBC애드컴
A3000006.wma,,동아제약(주),제약 및 의료,소화위장약,소화위장약 제품종합,맥소롱,속이 막혔을 땐,(주)MBC애드컴
A3000012.wma,,한미약품공업(주),제약 및 의료,생리피임 및 치질용약,피임약,노원,참사랑의 길,(주)MBC애드컴
A3000013.wma,,삼천당제약(주),제약 및 의료,"이비인후, 치과 및 안과용제",비염치료제,나리스타,답답한 코,동방기획
A3000018.wma,,일동제약(주) ,제약 및 의료,소화위장약,십이지장 및 위궤양제,암포젤엠,아직도속쓰려,(주)오리콤
A3000019.wma,,일동제약(주) ,제약 및 의료,소화위장약,십이지장 및 위궤양제,암포젤엠,효과는 세계 공통,(주)오리콤
A3000022.wma,,동아제약(주),제약 및 의료,감기약,종합감기약,판피린에스,전화통화,(주)오리콤
A3000034.wma,,일동제약(주) ,제약 및 의료,소화위장약,십이지장 및 위궤양제,암포젤엠,엠~,(주)오리콤
A3000035.wma,,(주)유한양행,제약 및 의료,소화위장약,십이지장 및 위궤양제,알마겔,새로 나온 위장약,(주)엘지애드
A3000039.wma,,보령제약(주),제약 및 의료,소화위장약,십이지장 및 위궤양제,겔포스,주머니 속의 위장약,(주)오리콤
A3000040.wma,,보령제약(주),제약 및 의료,생리피임 및 치질용약,세정제,솔박타,솔박타 써 보셨어요,(주)오리콤
A3000041.wma,,동화약품공업(주),제약 및 의료,두피 및 피부용제,피부연고제,후시딘연고,딱지떼지 마,(주)오리콤
A3000042.wma,,동화약품공업(주),제약 및 의료,두피 및 피부용제,여드름치료제,후시딘크림,고운 피부 그대로,(주)오리콤
A3000043.wma,,현대약품(주),제약 및 의료,두피 및 피부용제,여드름치료제,파녹실아쿠아겔,물처럼 부드럽게,(주)오리콤
A3000044.wma,,삼일제약(주),제약 및 의료,두피 및 피부용제,무좀치료제,히노킬,무좀균이기승부리기전에,(주)오리콤
A3000045.wma,,성진제약,제약 및 의료,생리피임 및 치질용약,세정제,비덱스,로션타입,(주)오리콤
A3000046.wma,,신신제약(주),제약 및 의료,"백신, 구충 및 살충제",살충 및 방충제,신신리페란,낚시,(주)엘지애드
A3000049.wma,,일동제약(주) ,제약 및 의료,소화위장약,십이지장 및 위궤양제,암포젤엠,오늘저녁어때,(주)오리콤
A3000051.wma,,(주)대웅제약,제약 및 의료,감기약,종합감기약,지미코,물구나무서기,(주)제일기획
A3000052.wma,,(주)대웅제약,제약 및 의료,소화위장약,소화제,베아제,윤동균편,(주)제일기획
A3000053.wma,,광동제약(주),제약 및 의료,감기약,종합감기약,광동탕,감기잡으러왓소이다,
A3000059.wma,,동아제약(주),제약 및 의료,제약 및 의료 기타,제약 및 의료 기타,써큐란,서양 산사자 성분,(주)MBC애드컴
A3000060.wma,,영진약품공업(주),제약 및 의료,대사성의약,자양강장제,영진구론산바몬드S,늦었다,진애드
A3000061.wma,,대화제약(주),제약 및 의료,두피 및 피부용제,무좀치료제,모두좀,뿌리는 무좀약,
A3000064.wma,,(주)중외제약,제약 및 의료,감기약,종합감기약,화콜F,한꺼번에 확,(주)제일기획
A3000065.wma,,(주)한국얀센,제약 및 의료,진통제 및 안정제,신경안정제,타이레놀,인터뷰,
A3000066.wma,,삼진제약(주),제약 및 의료,진통제 및 안정제,신경안정제,안정액,안정액이 온다,
A3000067.wma,,보령제약(주),제약 및 의료,소화위장약,십이지장 및 위궤양제,겔포스,회식,(주)제일기획
A3000068.wma,,한일약품공업(주),제약 및 의료,"이비인후, 치과 및 안과용제",안과용제,산클핀클,상큼한안약,
A3000069.wma,,신풍제약(주),제약 및 의료,"백신, 구충 및 살충제",구충제,디스토시드,디스토마,
A3000070.wma,,신풍제약(주),제약 및 의료,대사성의약,대사성의약 기타,마쓰리바,간큰남자,
A3000071.wma,,청계약품(주),제약 및 의료,대사성의약,비타민C제,씨메이저,상쾌함이 씹혀요,(주)대홍기획
A3000072.wma,,안국약품,제약 및 의료,"이비인후, 치과 및 안과용제",안과용제,토비콤,눈에는 눈약,
A3000073.wma,,청계약품(주),제약 및 의료,대사성의약,비타민C제,씨메이저,대한민국 여성이여,(주)대홍기획
A3000074.wma,,고려제약(주),제약 및 의료,감기약,종합감기약,하벤,"옛날 감기,요즘 감기",(주)엘지애드
A3000076.wma,,영진약품공업(주),제약 및 의료,근육 및 신경통제,근육통제,맨소래담,수영장,진애드
A3000077.wma,,(주)일화,제약 및 의료,대사성의약,자양강장제,활생톤,누가 힘을 말하는가,
A3000078.wma,,(주)일화,제약 및 의료,대사성의약,자양강장제,활생톤,기자회견,
A3000079.wma,,(주)일화,제약 및 의료,대사성의약,성인 종합영양제,삼정톤,정상의비결,
A3000080.wma,,현대약품(주),제약 및 의료,감기약,종합감기약,시노카,코가 무슨 죄,
A3000081.wma,,동화약품공업(주),제약 및 의료,감기약,종합감기약,판콜에스,초기에 잡아야,(주)제일기획
A3000082.wma,,(주)일화,제약 및 의료,대사성의약,성인 종합영양제,삼정톤,일석삼조,
A3000083.wma,,동부한농화학(주),제약 및 의료,농축산약제,농약,신바람수화제,병충방지,
A3000084.wma,,영진약품공업(주),제약 및 의료,대사성의약,대사성의약 기타,영진오너액,마시는 눈영양제,진애드
A3000085.wma,,동부한농화학(주),제약 및 의료,농축산약제,농약,앙콜,신토불이,
A3000086.wma,,동부한농화학(주),제약 및 의료,소화위장약,소화제,모두랑,액상수화제,
A3000087.wma,,동부한농화학(주),제약 및 의료,농축산약제,농약,커지엠,원예용 살균제,
A3000088.wma,,동국제약(주),제약 및 의료,두피 및 피부용제,피부연고제,복합마데카솔,예쁜 딱지,
A3000089.wma,,동국제약(주),제약 및 의료,두피 및 피부용제,피부연고제,복합마데카솔,3가지성분,
A3000090.wma,,동국제약(주),제약 및 의료,두피 및 피부용제,피부연고제,복합마데카솔,화상에도 마데카솔,
A3000091.wma,,동국제약(주),제약 및 의료,두피 및 피부용제,피부연고제,복합마데카솔,여행준비물,
A3000092.wma,,익수제약(주),제약 및 의료,근육 및 신경통제,신경통 및 류마티스제,고호환,문안전화,
A3000093.wma,,한일약품공업(주),제약 및 의료,감기약,종합감기약,화이투벤에스,감기 싹둑,
A3000094.wma,,한일약품공업(주),제약 및 의료,감기약,종합감기약,화이투벤에스,요즘감기 지독해요,
A3000095.wma,,한일약품공업(주),제약 및 의료,감기약,종합감기약,화이투벤에스,한국감기,
A3000096.wma,,한일약품공업(주),제약 및 의료,감기약,종합감기약,화이투벤에스,소비자에게 보답하겠습니다,
A3000097.wma,,청계약품(주),제약 및 의료,대사성의약,비타민C제,씨메이저,얼굴에 책임집시다,(주)대홍기획
A3000099.wma,,보령제약(주),제약 및 의료,소화위장약,십이지장 및 위궤양제,겔포스,힘차게 출발,(주)제일기획
A3000100.wma,,보령제약(주),제약 및 의료,소화위장약,십이지장 및 위궤양제,겔포스,최유라입니다,(주)제일기획
A3000101.wma,,보령제약(주),제약 및 의료,소화위장약,십이지장 및 위궤양제,겔포스,저녁약속,(주)제일기획
A3000102.wma,,보령제약(주),제약 및 의료,소화위장약,십이지장 및 위궤양제,겔포스,택시에서의 대화,(주)제일기획
A3000103.wma,,동부한농화학(주),제약 및 의료,농축산약제,농축산약제 기타,세큐어티,응해에는 세큐어티,(주)제일기획
A3000104.wma,,동부한농화학(주),제약 및 의료,농축산약제,농약,트레본수화제,자네 어디가나,(주)제일기획
A3000105.wma,,동부한농화학(주),제약 및 의료,농축산약제,농약,부자논,풍년농사의 비결,(주)제일기획
A3000106.wma,,영진약품공업(주),제약 및 의료,두피 및 피부용제,무좀치료제,멘탁스,오래된 무좀,(주)제일기획
A3000107.wma,,동화약품공업(주),제약 및 의료,감기약,종합감기약,판콜S,감기때문에 난리가 났어요,(주)제일기획
A3000109.wma,,익수제약(주),제약 및 의료,진통제 및 안정제,신경안정제,안신환,수면은 자연스럽게,(주)제일기획
A3000110.wma,,(주)한국얀센,제약 및 의료,두피 및 피부용제,비듬치료제,니조랄,여자는 좋겠어요,(주)제일기획
A3000111.wma,,동화약품공업(주),제약 및 의료,두피 및 피부용제,피부연고제,후시딘,상처 남기지 마세요,(주)제일기획
A3000112.wma,,광동제약(주),제약 및 의료,소화위장약,십이지장 및 위궤양제,비스로겔,새로운 액체위장약,(주)제일기획
A3000113.wma,,청계약품(주),제약 및 의료,소화위장약,십이지장 및 위궤양제,미아락,클레오파트라,(주)제일기획
A3000114.wma,,(주)중외제약,제약 및 의료,감기약,종합감기약,화콜,복잡한 감기,(주)제일기획
A3000115.wma,,한미약품공업(주),제약 및 의료,두피 및 피부용제,피부연고제,에코론지,피부는건강하고싶다,삼정커미셜
A3000116.wma,,수도약품공업(주),제약 및 의료,진통제 및 안정제,신경안정제,미가펜,이편요편미가펜,(주)제일기획
A3000117.wma,,(주)종근당,제약 및 의료,진통제 및 안정제,해열 및 진통제,사리돈에이,강하면서 순한 진통제,(주)제일기획
A3000118.wma,,(주)종근당,제약 및 의료,진통제 및 안정제,해열 및 진통제,사리돈에이,"순하다,강하다",(주)제일기획
A3000119.wma,,(주)유한양행,제약 및 의료,"백신, 구충 및 살충제",구충제,젠텔,기생충꼼짝마라,(주)엘지애드
A3000120.wma,,(주)진로제약,제약 및 의료,진통제 및 안정제,해열 및 진통제,진알지,자넨 알지,(주)제일기획
A3000121.wma,,고려제약(주),제약 및 의료,감기약,종합감기약,하벤,감기도가지가지,(주)엘지애드
A3000122.wma,,고려제약(주),제약 및 의료,감기약,종합감기약,하벤,당하고 있을 접니까,(주)엘지애드
A3000123.wma,,(주)대웅제약,제약 및 의료,대사성의약,성인 종합영양제,우루사,아내사랑,(주)제일기획
A3000124.wma,,삼천당제약(주),제약 및 의료,"이비인후, 치과 및 안과용제",비염치료제,나리스타S,방송들어갑시다,(주)제일기획
A3000125.wma,,일양약품(주),제약 및 의료,소화위장약,소화제,아진탈포르테,언제어디서나간편한,(주)대방기획
A3000126.wma,,대일화학공업(주),제약 및 의료,근육 및 신경통제,근육통제,대일파스,후끈후끈한느낌,PR애드
A3000127.wma,,(주)대웅제약,제약 및 의료,대사성의약,성인 종합영양제,우루사,건강한 휴일,(주)제일기획
A3000128.wma,,(주)대웅제약,제약 및 의료,대사성의약,성인 종합영양제,우루사,칼로물베기,(주)제일기획
A3000129.wma,,(주)대웅제약,제약 및 의료,대사성의약,성인 종합영양제,우루사,남편의 집념,(주)제일기획
A3000130.wma,,(주)대웅제약,제약 및 의료,대사성의약,성인 종합영양제,우루사,아내의 미덕,(주)제일기획
A3000131.wma,,(주)대웅제약,제약 및 의료,대사성의약,성인 종합영양제,우루사,남편의휴일,(주)제일기획
A3000132.wma,,(주)녹원양행,제약 및 의료,대사성의약,성인 종합영양제,녹아렌,녹혈과스쿠아렌,CM캠프
A3000133.wma,,알파제약,제약 및 의료,"이비인후, 치과 및 안과용제",구내염용제,이반트로키,입안염증에는,새그린
A3000134.wma,,일양약품(주),제약 및 의료,제약 및 의료 기타,제약 및 의료 기업PR,일양약품,전화안내,(주)제일기획
A3000135.wma,,동화약품공업(주),제약 및 의료,소화위장약,소화제,까스활명수,아니또먹어요,(주)MBC애드컴
A3000137.wma,,대일화학공업(주),제약 및 의료,의료용품,밴드류,대일밴드,마음의상처까지,PR애드
A3000138.wma,,보령제약(주),제약 및 의료,소화위장약,십이지장 및 위궤양제,겔포스,아직도못먹나,CM포인트
A3000139.wma,,일양약품(주),제약 및 의료,진통제 및 안정제,신경안정제,일양원방청심원,고유번호,(주)제일기획
A3000140.wma,,빅스,제약 및 의료,대사성의약,대사성의약 기타,빅스블루,타잔편,선연커뮤니케이션즈
A3000141.wma,,빅스,제약 및 의료,대사성의약,대사성의약 기타,빅스블루,응원편,선연커뮤니케이션즈
A3000142.wma,,현대약품(주),제약 및 의료,근육 및 신경통제,근육통제,현대물파스,벌레물린사람안내방송,삼희기획
A3000143.wma,,빅스,제약 및 의료,대사성의약,대사성의약 기타,빅스블루,택시잡기편,선연커뮤니케이션즈
A3000144.wma,,빅스,제약 및 의료,대사성의약,대사성의약 기타,빅스블루,야구관람편,선연커뮤니케이션즈
A3000145.wma,,빅스,제약 및 의료,대사성의약,대사성의약 기타,빅스블루,메아리편,선연커뮤니케이션즈
A3000146.wma,,대한보청기,제약 및 의료,의료용품,보청기,대한보청기,안들려요,(주)엠에이피에스
A3000147.wma,,(주)대웅제약,제약 및 의료,제약 및 의료 기타,제약 및 의료 기업공고,우루사캠페인,우리시대좋은아내찾기,(주)제일기획
A3000148.wma,,(주)동구약품,제약 및 의료,순환기관용제,신장이뇨제,쎄닐톤,또화장실가세요,IMC
A3000149.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비디,경제편,(주)대방기획
A3000150.wma,,일양약품(주),제약 및 의료,소화위장약,소화제,노루모,웃음편,(주)대방기획
A3000151.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비디,피로편,(주)대방기획
A3000152.wma,,동부한농화학(주),제약 및 의료,농축산약제,식물성장제,동부비료,복합비료가달라진다,(주)대방기획
A3000153.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비디,접촉사고편,(주)대방기획
A3000154.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,쌍비천,런칭편,(주)대방기획
A3000155.wma,,일양약품(주),제약 및 의료,대사성의약,성인 종합영양제,에이쿠스,런칭편,(주)대방기획
A3000156.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,타우스,런칭편,(주)대방기획
A3000157.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비디,중국어판,(주)대방기획
A3000158.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비디,졸음편,(주)대방기획
A3000159.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비에프,강하게삽시다,(주)대방기획
A3000160.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비에프,카페인이없습니다,(주)대방기획
A3000161.wma,,신해약품,제약 및 의료,대사성의약,성인 종합영양제,연생호보액,중국인편,(주)대방기획
A3000162.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비에프,피로편,(주)대방기획
A3000164.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비에프,피로에는역시,(주)대방기획
A3000166.wma,,일양약품(주),제약 및 의료,농축산약제,농약,"푸마시,만드리",제초제걱정이시죠,(주)대방기획
A3000167.wma,,일양약품(주),제약 및 의료,소화위장약,소화제,노루모,아버지편,(주)대방기획
A3000168.wma,,동부한농화학(주),제약 및 의료,농축산약제,농약,풀뚝,피걱정뚝,(주)대방기획
A3000169.wma,,동부한농화학(주),제약 및 의료,농축산약제,농약,하이타크,효과가지속,(주)대방기획
A3000170.wma,,환인제약(주),제약 및 의료,제약 및 의료 기타,제약 및 의료 기업PR,환인제약,기업PR,(주)대방기획
A3000173.wma,,(주)반도제약,제약 및 의료,대사성의약,성인 종합영양제,홍삼경옥고,판소리편,(주)대방기획
A3000174.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비디,교통정체편,(주)대방기획
A3000175.wma,,명인제약(주),제약 및 의료,소화위장약,변비치료제,메이킨,말못할고민,(주)대방기획
A3000176.wma,,일양약품(주),제약 및 의료,소화위장약,소화제,노루모,우리체질엔,(주)대방기획
A3000177.wma,,일양약품(주),제약 및 의료,소화위장약,소화제,노루모,좋은아침편,(주)대방기획
A3000179.wma,,일양약품(주),제약 및 의료,대사성의약,성인 종합영양제,원방우왕청심원,하나하나정성을다해,(주)대방기획
A3000180.wma,,일양약품(주),제약 및 의료,대사성의약,간장치료제,청간탕,마시는간장약,(주)대방기획
A3000181.wma,,일양약품(주),제약 및 의료,제약 및 의료 기타,제약 및 의료 기업PR,일양약품,기업PR,(주)대방기획
A3000182.wma,,일양약품(주),제약 및 의료,소화위장약,소화제,아진탈포르테,이담소화제,(주)대방기획
A3000184.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비디,피로를이긴다,(주)대방기획
A3000185.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비디,피로를마시자,(주)대방기획
A3000186.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비에프,자랑스런한국인,(주)대방기획
A3000187.wma,,일양약품(주),제약 및 의료,소화위장약,소화제,생단액,생약소화제,(주)대방기획
A3000191.wma,,일양약품(주),제약 및 의료,대사성의약,자양강장제,원비디,다시일어섭시다,(주)대방기획
A3000192.wma,,일양약품(주),제약 및 의료,순환기관용제,순환기관용제 기타,오행자기맥,효도선물,(주)대방기획
A3000193.wma,,청원약품,제약 및 의료,근육 및 신경통제,신경통 및 류마티스제,큐엘,새로운신경통약,(주)제일기획
A3000194.wma,,청원약품,제약 및 의료,근육 및 신경통제,신경통 및 류마티스제,큐엘,부부의대화,(주)제일기획
A3000195.wma,,청원약품,제약 및 의료,근육 및 신경통제,신경통 및 류마티스제,큐엘,운동편,(주)제일기획
A3000196.wma,,삼일제약(주),제약 및 의료,"이비인후, 치과 및 안과용제",안과용제,산스타,자기토끼같애,(주)제일기획
