번호,년도,매체구분,매체,대분류,중분류,소분류,광고주,제품,내용
SNU-648,1908,신문,황성신문,출판,출판 기타,출판 제품종합,광학서보,,광학서보 신간발간광고
MM-175,1929,잡지,진생(眞生),출판,서적,일반서적,한성도서주식회사,세계 명부전,세계명부전이라는 책 광고
MM-233,1932,잡지,시대공론(時代公論),출판,잡지,기타,비전코리아,비판 신년호,비판 신년호  광고
MM-234,1932,잡지,시대공론(時代公論),출판,잡지,예술문화잡지,영화시대사,영화시대,영화시대 잡지 광고
MM-235,1932,잡지,시대공론(時代公論),출판,서적,서적 제품종합,원시대공론사,사상서적,사상 서적지 판매 광고
MM-238,1933,잡지,중앙(中央),출판,신문,중앙신문,(주)동아일보사,기업PR,발행부수 조선제일 동아일보 광고
MM-272,1935,잡지,동양의약(東洋醫藥),출판,일반용 교재,일반용 교재 제품종합,동양제약사,서적광고,조헌영 저 통합한의학원론 책 광고
MM-292,1938,잡지,농업조선(農業朝鮮),출판,출판 기타,출판 기타,(주)대동출판사,출판사 편집국,현상 대모집 농촌청년지상웅변대회 광고
MM-332,1940,잡지,태양(太陽),출판,출판 기타,출판 기타,조선문화사내 태양편집국,기업PR,"논문,소설등 현상모집 광고"
MM-362,1946,잡지,생활문화(生活文化),출판,출판 기타,출판 기업PR,한성도서주식회사,기업PR,한성타임스 한성시보 광고
MM-363,1946,잡지,대조(大潮),출판,출판 기타,출판 기업PR,일신인쇄소,기업PR,인쇄소 광고
MM-461,1949,잡지,해외경제사정(海外經濟事情),출판,서적,일반서적,조선은행,조선경제년보,조선경제년보 책 광고
MM-497,1956,잡지,신세계,출판,잡지,시사교양잡지,창편사,신세계,신세계 창간호 발행 광고
MM-540,1959,잡지,문학평론,출판,서적,일반서적,신양출판사,서적광고,"문화의 이론,낙원의 악마 책 광고"
MM-085,1919,잡지,창조(創造),출판,잡지,잡지 기타,창조사,청년,기독청년지 광고
MM-297,1939,잡지,문장(文章),출판,서적,일반서적,문음사,서적광고,박태원 작 소설가 구보씨의 일일 이라는 책 광고
MM-298,1939,잡지,문장(文章),출판,서적,사전류,박문서관,서적광고,조선어사전외 책 광고
MM-482,1952,잡지,새벗,출판,서적,일반서적,새벗사,교육동화집,홍병선 엮음 교육동화집 책 광고
MM-483,1952,잡지,새벗,출판,출판 기타,출판 기타,새벗사,모집광고,현상 작문 동화 모집 광고
MM-492,1955,잡지,아리랑,출판,출판 기타,출판 기타,아리랑,모집광고,"소설,실화 원고 대모집 광고"
SNU-553,1905,신문,황성신문,출판,서적,전집류,광고주미상,,전문사 재상전집
MM-257,1934,잡지,여성(女聲),출판,출판 기타,출판 기타,경성여성사,동무여 글을 보내라,"시평, 감상문등 글을 보내달라는 광고"
MM-441,1948,잡지,민중공론(民衆公論),출판,서적,일반서적,문우인서관,기업PR,유물론통사 책 소개 광고
MM-468,1949,잡지,신세기(新世紀),출판,서적,일반서적,삼팔사,서적광고,"국부와괴적,소련의세계정책등 책 광고"
MM-486,1954,잡지,문학과예술,출판,출판 기타,출판 기타,문학예술사,모집광고,신인 작품 모집 광고
SNU-663,1908,신문,황성신문,출판,출판 기타,출판 기업PR,대한서림,,대한서림 개업광고
MM-138,1925,잡지,생장(生長),출판,서적,서적 제품종합,한성도서주식회사,생명의 과실 외,신간 출시 광고
MM-139,1925,잡지,생장(生長),출판,중고생용 교재,중고생용 학습교재,한성도서주식회사,에스페란토 독학,김억 저 에스페란토어 독학책 광고
MM-140,1925,잡지,생장(生長),출판,서적,서적 제품종합,청도사,무안애의 금상 외,창작소설책 광고
MM-147,1926,잡지,농촌호(農村號),출판,서적,일반서적,이문당,간도사정 외,신간소개 광고
MM-448,1948,잡지,신세대(新世代),출판,서적,서적 제품종합,동지사아동원,서적,나온책과  새로나올책 소개 광고
MM-162,1927,잡지,신소년(新小年),출판,서적,일반서적,신소년사,작문집 외,동요작법등 책 소개 광고
MM-506,1958,잡지,사조,출판,서적,서적 제품종합,정음사,서적광고,호평도서 목록 소개 광고
MM-507,1958,잡지,사조,출판,서적,일반서적,정영사,서적광고,구미체류기등 책 광고
MM-508,1958,잡지,지성,출판,서적,사전류,을유문화사,서적광고,표준 국어사전 광고
MM-096,1920,잡지,학생계(學生界),출판,출판 기타,출판 기타,한성도서주식회사,현상모집,"소설, 시등 문예 작품 현상모집 광고"
MM-510,1958,잡지,독서계,출판,일반용 교재,일반용 교재 제품종합,정양사,서적광고,육법전서등 책 광고
MM-511,1958,잡지,독서계,출판,서적,일반서적,도서출판현암사,서적광고,노벨상 수상 대지 책 광고
SNU-185,1908,신문,대한매일신보,출판,초등학생용 교재,초등학생용 교재 제품종합,광고주미상,,쇼아교육
MM-186,1930,잡지,조선학보(月刊朝鮮學報),출판,서적,일반서적,동경당,일본문화사개론,일본문화사개론 책 광고
MM-187,1930,잡지,조선학보(月刊朝鮮學報),출판,중고생용 교재,중고생용 학습교재,조선학보사,역사과교수용참고괘도,역사과교수용참고괘도에 관한 광고
MM-084,1918,잡지,유심(惟心),출판,출판 기타,출판 기업공고,유심사,문예,유심 현상 문예 응모에 관한 광고
MM-496,1956,잡지,전망,출판,잡지,시사교양잡지,서라벌 예술학교 출판국,서적광고,문예창작강좌 전6권 책 광고
MM-515,1958,잡지,신문화,출판,서적,일반서적,광고주미상,에반제린,에반제린 책 광고
MM-135,1924,잡지,조선문단(朝鮮文壇),출판,서적,일반서적,시문사,기업PR,이광수 작 허생전과 금강산유기를 광고
MM-003,1906,잡지,소년한반도(少年韓半島),출판,잡지,학생잡지,소년한반도사,광고,소년한반도 잡지 소개
MM-006,1906,잡지,소년한반도(少年韓半島),출판,서적,일반서적,소년한반도사,실리 농방신편,농방신편에 관한책 광고
MM-016,1908,잡지,소년(少年),출판,출판 기타,출판 기업PR,신문관,광고료,소년에 싣는 광고료
MM-017,1908,잡지,소년(少年),출판,출판 기타,출판 기업PR,신문관,신문관,신문관이라는 출판사를 광고하는글
MM-018,1908,잡지,소년(少年),출판,서적,일반서적,신문관,"최남선,지리서",지리학이 어떤건지 한번 보라는 글
MM-019,1908,잡지,소년(少年),출판,일반용 교재,일반용 학습교재,신문관,신문관,지리학 책 광고
MM-020,1908,잡지,소년(少年),출판,서적,서적 제품종합,신문관,무사도 외,새로 나올 책 광고
MM-021,1908,잡지,소년(少年),출판,서적,서적 제품종합,신문관,소년구가서류,"한양가,경부철도가,세계일주가 라는 책 소개"
MM-065,1917,잡지,조선공론(朝鮮公論),출판,잡지,시사교양잡지,대륙사,월간대륙,월간 대륙 잡지 발행 광고
MM-067,1917,잡지,조선공론(朝鮮公論),출판,잡지,기타,선만공업사,선만의공업,선만의공업이라는 월간 잡지 소개 광고
MM-070,1917,잡지,조선공론(朝鮮公論),출판,서적,일반서적,조선공론,조선공론,조선공론이라는 책 소개
MM-220,1931,잡지,신동아(新東亞),출판,서적,전집류,신구서림,조선영화전집 외,"승방비곡,조선영화전집 책 선전 광고"
MM-294,1938,잡지,실화(實話),출판,서적,일반서적,조선광업시대사,서적광고,광업성공가실화집 책 광고
MM-327,1939,잡지,영화연극(映畵演劇),출판,출판 기타,출판 기업PR,수영사 인쇄소,기업PR,"석판,활판 옵인쇄등 인쇄소 소개 광고"
MM-335,1941,잡지,국민문학(國民文學),출판,서적,일반서적,인문사,서적광고,사랑의 수족관 책 광고
MM-336,1941,잡지,국민문학(國民文學),출판,잡지,시사교양잡지,조선춘추사,춘추,춘추 11월호 광고
MM-337,1941,잡지,국민문학(國民文學),출판,서적,일반서적,광고주미상,찔레꽃,찔레꽃 제 5판이 나왔다는  광고
MM-340,1941,잡지,국민문학(國民文學),출판,서적,일반서적,인문사,팔도풍물시집,임학수 저서 팔도풍물시집 책 광고
MM-343,1941,잡지,국민문학(國民文學),출판,신문,중앙신문,(주)매일신문사,기업PR,"매일신문, 국민신보,매신사진순보 광고"
MM-472,1949,잡지,수험계(月刊受驗界),출판,일반용 교재,일반용 학습교재,주식회사 육성각,"월간법정,고시학회","상단 월간법정 광고,하단 보통고시강의록 책 광고"
MM-097,1920,잡지,아희생활,출판,출판 기타,출판 기업PR,아희생활사,꼭 기다려 보십시요,신년호가 굉장하니 꼭 기다려보라는 광고
MM-098,1920,잡지,아희생활,출판,출판 기타,출판 기업공고,아희생활사,신년특별현상대모집,현상 모집 광고
MM-099,1920,잡지,아희생활,출판,출판 기타,출판 기타,아희생활사,크리스마스 지상축하대회,크리스마스 지상축하대회 무료입장 광고
MM-269,1934,잡지,삼사문학(三四文學),출판,서적,일반서적,북성당,조선 4천년 비사,조선 4천년 비사 책 광고
MM-274,1935,잡지,야담(野談),출판,서적,일반서적,한성도서주식회사,서적광고,이광수 작 흙 등 책 광고
MM-275,1935,잡지,야담(野談),출판,잡지,여성잡지,신동아사,신가정,신가정 12월 송년호 광고
MM-276,1935,잡지,야담(野談),출판,잡지,기타,삼천리사,삼천리  ,삼천리 책 12월호 광고
MM-277,1935,잡지,야담(野談),출판,출판 기타,출판 기업공고,월간 아이생활,서적광고,창간 10주년 기념 삼백원 대현상 광고
MM-278,1935,잡지,야담(野談),출판,서적,일반서적,야화사,야화사 젊은 그들,김동인 작 젊은 그들 책 광고
MM-405,1946,잡지,학생동무,출판,신문,신문 기타,예술신문,기업PR,주간 예술신문 지사모집 광고
MM-406,1946,잡지,학생동무,출판,출판 기타,출판 기업PR,동흥서적,기업PR,회사 소개 광고
MM-434,1947,잡지,조선춘추(朝鮮春秋),출판,출판 기타,출판 기업PR,조선통신사출판부,기업PR,각 삼정 진열용 예약 모집 한다는 광고
MM-473,1949,잡지,신경향(新京鄕),출판,출판 기타,출판 기업PR,종로서관,기업PR,출판문화계의 혜성이라고 광고
MM-484,1952,잡지,자유세계,출판,출판 기타,출판 기업PR,서울신흥,시링구 인쇄,시링구 인쇄 광고
MM-518,1958,잡지,자유공론,출판,서적,사전류,학원사 ,서적광고,대백과사전 전 6권중 2권 발매 광고
SNU-674,1908,신문,황성신문,출판,출판 기타,출판 기업PR,강천활판제조소,,강천활판제조소 인쇄국 - 제조품위탁판매실시
SNU-125,1909,신문,대한매일신보,출판,유아용 교재,유아용 학습지,문명서관,,문명서관 소학
SNU-569,1905,신문,황성신문,출판,서적,일반서적,황성신문사,,황성신문사 대동역사발*광고
MM-045,1914,잡지,학지광(學之光),출판,잡지,시사교양잡지,신문관,청춘,월간잡지 청춘 제 6호 발행을 광고
SNU-140,1907,신문,대한매일신보,출판,서적,일반서적,광고주미상,서사전국지,서적광고
MM-197,1931,잡지,동광(東光),출판,서적,일반서적,동광사 ,조선사화집,이은상 저서 조선사화집 이라는 책 광고
SNU-478,1903,신문,황성신문,출판,서적,일반서적,광고주미상,,윤치경 고백 음양월력360편 발간
MM-036,1913,잡지,신문계(新文界),출판,신문,신문 기타,신문사,기업PR,신문사 대리부를 신설하니 이용하라는 광고
MM-009,1907,잡지,법정학계(法政學界),출판,서적,서적 기타,법정학계,법정학계,법정학계 책 구독 하라는 광고
SNU-491,1903,신문,황성신문,출판,서적,서적 기타,광고주미상,,진공거사*연광고 - 실상묘법연화경
SNU-327,1898,신문,황성신문,출판,신문,중앙신문,각종신문광고,,
SNU-204,1945,신문,매일신보,출판,잡지,잡지 기타,조선주보,,조선주보 창간호 발간 광고
SNU-148,1908,신문,대한매일신보,출판,잡지,여성잡지,전학서관,,가정잡지
SNU-599,1906,신문,황성신문,출판,서적,일반서적,성문당,,성문당 동국여지승람
SNU-634,1907,신문,황성신문,출판,출판 기타,출판 제품종합,광학서관,,광학서관 신간발간광고
SNU-396,1901,신문,제국신문,출판,출판 기타,출판 기업PR,광문사,,광문사 인쇄소광고
SNU-604,1906,신문,황성신문,출판,잡지,잡지 기타,광고주미상,,조양보 제11호 광고
MM-364,1946,잡지,우리문학(우리文學),출판,잡지,시사교양잡지,신세대사,서적광고,신문학 창간호 광고
MM-365,1946,잡지,우리문학(우리文學),출판,잡지,학생잡지,별나라사,서적광고,소년소녀잡지 별나라 광고
SNU-435,1903,신문,제국신문,출판,서적,일반서적,광고주미상,,책광고
SNU-666,1908,신문,황성신문,출판,신문,신문 기타,의약신보사,,의약신보사 대한의약신보(월간지) 발행광고
SNU-126,1909,신문,대한매일신보,출판,일반용 교재,일반용 학습지,대한서림,,대한서림 논어/맹자
SNU-701,1909,신문,황성신문,출판,서적,서적 기타,장중서,,장중서 신법령집 발간
SNU-626,1907,신문,황성신문,출판,서적,서적 기타,고금서해관,,고금서해관 각종서적광고
SNU-147,1907,신문,대한매일신보,출판,서적,일반서적,김상만서관,,애국부인전 김상만서관
MM-367,1946,잡지,한글문화,출판,서적,서적 제품종합,표준조선문법,서적광고,"상단 사화 전설집 광고,하단 국학전문학교 학생모집 광고"
MM-368,1946,잡지,한글문화,출판,잡지,시사교양잡지,백민문화사,서적광고,월간잡지 백민 광고
SNU-343,1899,신문,황성신문,출판,신문,중앙신문,(주)매일신문사,,매일신문 이설 및 개정 (상무총보)
MM-059,1917,잡지,반도시론(半島時論),출판,출판 기타,출판 기업PR,한성서관,기업PR,특별 대 할인 발매 광고
MM-246,1933,잡지,과학조선(科學朝鮮),출판,서적,서적 제품종합,발명학회출판부,문도사,유광렬 저  간도사와 안중근 책 광고
MM-163,1927,잡지,월간잡지조선어 ,출판,서적,일반서적,조선어 연구회,신간안내,조선문조선어강의록 선전
MM-164,1927,잡지,월간잡지조선어 ,출판,서적,일반서적,노서아 통신 경성지구,신간안내,신노서아관 이라는 책 선전
MM-165,1927,잡지,월간잡지조선어 ,출판,서적,일반서적,노서아 사정,신간안내,노서아사정이라는 책 광고
MM-166,1927,잡지,월간잡지조선어 ,출판,서적,일반서적,조선사상통신사,신간안내,조선사상통신 광고
MM-167,1927,잡지,월간잡지조선어 ,출판,서적,일반서적,조선사상통신사,신간안내,조선급조선민족 책 광고
MM-168,1927,잡지,월간잡지조선어 ,출판,서적,일반서적,조선어 연구회,신간안내,삼국유사등 책 광고
SNU-331,1898,신문,황성신문,출판,출판 기타,출판 기업PR,그리스도신문,,그리스도신문 광고
MM-252,1933,잡지,조선문학(朝鮮文學),출판,서적,일반서적,문화집전사,서적,사회주의적 네아리즘의 문제라는 책 광고
MM-253,1933,잡지,조선문학(朝鮮文學),출판,출판 기타,출판 기업PR,김광당 인쇄소,기업PR,정가표및 주문방법
MM-254,1933,잡지,조선문학(朝鮮文學),출판,서적,일반서적,경성각 출판부,게르만의 꽃,조선작가대표작집 등 출판예정 광고
MM-265,1934,잡지,월간야담(月刊野談),출판,서적,전집류,계유출판사,조선야사전집,조선야사전집 제 4권을 발매 한다는 광고
SNU-212,1945,신문,매일신보,출판,신문,중앙신문,매일신보,,신문제호 모집
SNU-595,1906,신문,황성신문,출판,서적,사전류,성문당,,성문당 일본국정교과서/일한회화사전 출간
SNU-644,1907,신문,황성신문,출판,출판 기타,출판 기업PR,보성사,,보성사 인쇄광고
SNU-687,1908,신문,황성신문,출판,일반용 교재,일반용 학습지,중앙서관,,중앙서관 지방행정론
SNU-258,1899,신문,황성신문,출판,신문,중앙신문,황성신문사,,황성신문 특별광고
SNU-232,1900,신문,황성신문,출판,서적,일반서적,광고주미상,,미국독립사 등  책광고
MM-142,1925,잡지,조선농민(朝鮮農民),출판,잡지,여성잡지,개벽사,신여성,신여성 12월호 광고
yuhan-361,1942,신문,매일신보,출판,서적,일반서적,효형출판,국민중학강의록,독학시대 도래
MM-283,1936,잡지,시인부락(詩人部落),출판,서적,전집류,중앙인서관,서적광고,조선문학전집 책 광고
SNU-512,1904,신문,황성신문,출판,서적,일반서적,광고주미상,,미국인 허법씨작 대동기년 외
MM-505,1958,잡지,법률평론,출판,잡지,시사교양잡지,법률평론사,기업PR,법률평론 창간호 발매 광고
MM-007,1907,잡지,대한자강회월보(大韓自强會月報),출판,출판 기타,출판 기업PR,대한자강회월보사무소,월보발행소 고백,기부금에 대한 인사
SNU-515,1904,신문,황성신문,출판,신문,중앙신문,조선신문사,,조선신문사 대한일보 발행광고
MM-387,1946,신문,기타신문,출판,출판 기타,출판 기타,경기중학일엽주,일엽주,"시, 문예작품등 모집광고"
SNU-627,1907,신문,황성신문,출판,중고생용 교재,중고생용 교재 제품종합,광고주미상,,최신간교과서 발간광고
MM-321,1939,잡지,관광조선,출판,잡지,"취미, 레저 및 자동차잡지",관광조선,관광조선,관광조선 창간호 책 광고
MM-181,1929,잡지,신흥(新興),출판,서적,일반서적,신흥과학사,신흥과학사,세계경제금해금문제라는 책 광고
MM-182,1929,잡지,신흥(新興),출판,서적,일반서적,한성도서주식회사,백두산근참기,백두산근참기 책 광고
SNU-118,1909,신문,대한매일신보,출판,초등학생용 교재,초등학생용 교재 제품종합,광고주미상,,신산초등소학
MM-048,1915,잡지,지기금지(至氣今至),출판,출판 기타,출판 기업PR,경성부견지동시천교당종무본부,구독료,구독료와 광고료 안내 광고
MM-349,1945,신문,조선주보(朝鮮週報),출판,서적,일반서적,문림사서점,서적광고,조선 해방만세 책 광고
MM-350,1945,신문,조선주보(朝鮮週報),출판,신문,중앙신문,자유신문,기업PR,일간 자유신문 광고
MM-153,1926,잡지,됴션문조선(됴션문朝鮮),출판,일반용 교재,일반용 학습교재,조선인쇄주식회사,체신지도,체신지도에 관한 광고
MM-351,1945,잡지,별나라,출판,서적,일반서적,별나라사,서적광고,"아동극집,달도운다등 아동도서 광고"
SNU-612,1907,신문,황성신문,출판,서적,사전류,광고주미상,,보통일본어사전
SNU-517,1904,신문,황성신문,출판,출판 기타,출판 기업PR,대동신보,,일간 대동신보
MM-236,1932,잡지,선원(禪苑),출판,서적,일반서적,선학원,서가여래약전,서가여래약전 책 광고
SNU-635,1907,신문,황성신문,출판,서적,일반서적,광고주미상,,신소설 애국부인전
SNU-692,1908,신문,황성신문,출판,서적,일반서적,유일서관,,유일서관 소설치악산발간
SNU-699,1908,신문,황성신문,출판,서적,일반서적,회동서관,,회동서관 과학소설철세계발간
MM-155,1927,잡지,해외문학(海外文學),출판,서적,사전류,삼성단,신간안내,영화(英和)사전에 관한 광고
SNU-590,1906,신문,황성신문,출판,서적,서적 기타,광고주미상,,신간발매광고
MM-430-1,1947,잡지,신문평론(新聞評論),출판,신문,중앙신문,신문평론사,동아일보사,창간을 축하하는 광고
MM-512,1958,잡지,시청각,출판,일반용 교재,일반용 학습교재,문교스라이드사,슬라이드제작,제품안내
SNU-196,1945,신문,매일신보,출판,출판 기타,출판 기타,조선출판문화주식회사,,광고란
yuhan-245,1936,신문,기타신문,출판,신문,신문기타,문화기업사,손기정 남승룡 양*수,역사적 신기록 세계적 대제패 만세
MM-388,1946,잡지,신문학(新文學),출판,서적,일반서적,서울타임스사,서적광고,"목화씨 뿌릴때,동백,중국의운명 책 광고 "
SNU-115,1907,신문,대한매일신보,출판,신문,중앙신문,대한매일신보사,,호외
SNU-607,1907,신문,황성신문,출판,유아용 교재,유아용 학습지,광고주미상,,초등소학
SNU-432,1903,신문,제국신문,출판,서적,일반서적,광고주미상,,목민심서 외 주한영편사
SNU-266,1899,신문,황성신문,출판,일반용 교재,일반용 학습지,광고주미상,,한청의약 책광고
SNU-106,1908,신문,대한매일신보,출판,잡지,여성잡지,광고주미상,,가정잡지
SNU-559,1905,신문,황성신문,출판,잡지,잡지 기타,광고주미상,,동습일어잡지
MM-027,1909,잡지,대한흥학보(大韓興學報),출판,출판 기타,출판 기업PR,소년한반도,기업PR,소년한반도 발매소를 소개하는광고
MM-176,1929,잡지,괴기(怪奇),출판,출판 기타,출판 기업PR,홍문사,기업PR,인쇄에 관한 광고
MM-471,1949,잡지,희곡문학(戱曲文學),출판,출판 기타,출판 기타,희곡문화사,희곡문화사,희곡 작품모집 광고
SNU-629,1907,신문,황성신문,출판,서적,일반서적,광고주미상,,소설 혼의성
SNU-645,1907,신문,황성신문,출판,서적,서적 기타,광고주미상,,각종 서적광고
SNU-613,1907,신문,황성신문,출판,서적,일반서적,광고주미상,,신정동국역사 외 출판
SNU-110,1907,신문,대한매일신보,출판,서적,일반서적,중앙서관,,중앙서관 소설성의혼
MM-357,1945,잡지,무궁화,출판,출판 기타,출판 기타,무궁화사,현상모집,아동문학현상모집
SNU-689,1908,신문,황성신문,출판,서적,일반서적,의진사,,의진사 각종서적광고
SNU-695,1908,신문,황성신문,출판,서적,일반서적,중앙서관,,중앙서관 교육소설이태리소년발간
SNU-525,1904,신문,황성신문,출판,서적,일반서적,종로대동서시,,종로대동서시 대동기년 책광고
SNU-637,1907,신문,황성신문,출판,서적,일반서적,광고주미상,,20세기조선론
SNU-653,1908,신문,황성신문,출판,서적,일반서적,중앙서관,,중앙서관 - 정치소설 애국정신
SNU-586,1906,신문,황성신문,출판,출판 기타,출판 기업PR,뎨국신문사,,뎨국신문사 인쇄소 명함인쇄 특별염가광고
SNU-493,1903,신문,황성신문,출판,서적,일반서적,광고주미상,,중등 만국지지 광고
MM-001,1906,잡지,태극학보(太極學報),출판,출판 기타,출판 기업PR,태극학회,광고,구매의뢰<책 사려하는 사람 물어보시오>
SNU-633,1907,신문,황성신문,출판,출판 기타,출판 기타,광고주미상,,정지된 뎨국신문의 재발간을 위한 의연금모집광고
MM-023,1909,잡지,교남교육회잡지(嶠南敎育會雜誌),출판,출판 기타,출판 기업PR,교남교육회사무소,교육월보정가표,교육월보 정가표와 광고료
MM-026,1909,잡지,기호흥학회월보(畿湖興學會月報),출판,일반용 교재,일반용 학습지,기호흥학회사무소,특별대광고,"소물리학,대동역사략,초등소학을 광고하는글"
SNU-513,1904,신문,황성신문,출판,서적,서적 기타,광고주미상,,대한강역고 서적광고
MM-445,1948,잡지,체육문화(體育文化),출판,일반용 교재,일반용 학습교재,동양서원,풍금교측본,풍금교측본 책 광고
MM-446,1948,잡지,체육문화(體育文化),출판,서적,일반서적,문예서림,서적광고,"조선형정사,거승사명당등 책 광고"
MM-091,1920,잡지,개벽,출판,서적,일반서적,동양서원,위인 링컨,링컨 위인전 광고
MM-002,1906,잡지,가뎡잡지,출판,출판 기타,출판 기업PR,가정잡지사,광고,기부금에 대한 인사와 정가표 안내
MM-014,1908,잡지,교육월보(敎育月報),출판,출판 기타,출판 기업PR,교육월보사,지사광고,외국에 있는 지사 광고
MM-015,1908,잡지,교육월보(敎育月報),출판,출판 기타,출판 기업PR,교육월보사,광고료,교육월보 정가표와 광고료
MM-415,1946,잡지,조선교육(朝鮮敎育),출판,초등학생용 교재,초등학생용 학습지,문화당,사회생활공부,교사 아동 겸용 참고서 사회생활공부 책 광고
SNU-608,1907,신문,황성신문,출판,일반용 교재,일반용 학습지,중앙서관,,중앙서관 정권산학(부해식)
SNU-223,1900,신문,황성신문,출판,신문,중앙신문,황성신문사,,황성신문 특별광고
yuhan-257,1937,신문,기타신문,출판,출판 기타,출판 기업PR,동광당 서점,기업PR,동광당 문구점
SNU-166,1909,신문,대한매일신보,출판,일반용 교재,일반용 학습지,광학서관,,상업경영법전 
SNU-418,1989,신문,제국신문,출판,출판 기타,출판 기업PR,이문사,,이문사 인쇄광고
장업0900,1995,신문,장업신문,출판,일반용 교재,일반용 학습교재,여강출판사,한약조제시험 예상문제집,"한약조제 시험 대비, 어떻게 할 것인가"
SNU-200,1945,신문,매일신보,출판,서적,일반서적,조광사,,조광사 조선인에게 고함 발간
SNU-113,1907,신문,대한매일신보,출판,중고생용 교재,중고생용 학습지,광고주미상,지리교과서,장지연-대한신지지건
SNU-184,1908,신문,대한매일신보,출판,출판 기타,출판 기업PR,교육월보사,,교육월보사
SNU-303,1900,신문,황성신문,출판,서적,일반서적,광고주미상,,미국독립사 책광고
MM-039,1914,잡지,청춘(靑春),출판,서적,일반서적,신문관,춘향전,고본 춘향전을 소개하는 광고
MM-040,1914,잡지,청춘(靑春),출판,서적,서적 제품종합,이문당,책소개,읽지 않으면 안될 좋은책 소개
MM-043,1914,잡지,청춘(靑春),출판,서적,일반서적,신문관,검둥의 설음,스토우 원저 이광수 번역 검둥의 설음 광고
MM-455,1948,잡지,학풍(學風),출판,서적,전집류,서울통신대학,서적광고,신조선법학전집등 책 광고
MM-456,1948,잡지,학풍(學風),출판,서적,일반서적,을유문화사,서적광고,안호상저 철학논총  책 광고
MM-457,1948,잡지,학풍(學風),출판,서적,일반서적,수선사,서적광고,수선사 소설총서 등 책 광고
SNU-094,1907,신문,대한매일신보,출판,서적,일반서적,광고주미상,,전인부란다 책광고
SNU-703,1909,신문,황성신문,출판,일반용 교재,일반용 학습지,광덕서관,,광덕서관 실리농방신편
SNU-622,1907,신문,황성신문,출판,출판 기타,출판 기업PR,일신사,,일신사 각종 인쇄작업광고 (전 대한매일신보사)
SNU-602,1906,신문,황성신문,출판,서적,서적 기타,광고주미상,,신서발간광고
SNU-400,1900,신문,제국신문,출판,잡지,잡지 기타,광고주미상,,요리책광고
MM-293,1938,잡지,고양(高揚),출판,잡지,잡지 기타,인문사,서적광고,해외서정시집 광고
MM-389,1946,잡지,국학(國學),출판,출판 기타,출판 기업PR,정공사,기업PR,"옵셋,평판,석판등 인쇄소 광고"
MM-393,1946,잡지,국학(國學),출판,출판 기타,출판 기업PR,학생신문사,기업PR,학생 유일의 신문 학생신문 광고
SNU-679,1908,신문,황성신문,출판,출판 기타,출판 기업PR,문아당,,문아당 인쇄소 개업광고
SNU-262,1899,신문,황성신문,출판,잡지,"취미, 레저 및 자동차잡지",독립신문사,,독립신문사 서양요리책
SNU-108,1908,신문,대한매일신보,출판,잡지,기타,장학월보사,,장학월보사 특별광고
MM-086,1920,잡지,현대(現代),출판,잡지,시사교양잡지,조선기독청년회,창조,문예잡지 창조 광고
SNU-670,1908,신문,황성신문,출판,서적,일반서적,광문사,,광문사 중국혼 발행광고
SNU-190,1907,신문,대한매일신보,출판,서적,일반서적,광학서관,,젼인부란라(한글) 소설책광고
SNU-081,1906,신문,대한매일신보,출판,출판 기타,출판 기업PR,일한도서인쇄회사,,일한도서인쇄회사 개업광고
SNU-005,1908,신문,대한매일신보,출판,서적,일반서적,광고주미상,토지측량술/제국주의 외,서적광고
SNU-009,1908,신문,대한매일신보,출판,서적,일반서적,광고주미상,대한지지교과서,서적광고
SNU-014,1908,신문,대한매일신보,출판,잡지,학생잡지,호남학회,소년,호남학회 소년지 발행광고
SNU-018,1908,신문,대한매일신보,출판,서적,일반서적,광고주미상,송뇌금,소설 송뇌금
SNU-023,1908,신문,대한매일신보,출판,서적,사전류,동일서관,신옥편,동일서관 국한문 신옥편
SNU-024,1908,신문,대한매일신보,출판,서적,서적 제품종합,흥문사,서적광고,흥문사 본사 발생 책 목록
SNU-055,1908,신문,대한매일신보,출판,유아용 교재,유아용 학습지,광고주미상,,소학한문독보 외
SNU-056,1908,신문,대한매일신보,출판,출판 기타,출판 기업PR,대한서림,,대한서림
SNU-065,1908,신문,대한매일신보,출판,일반용 교재,일반용 학습지,박문사,,박문사 법학통론 발간
SNU-068,1908,신문,대한매일신보,출판,신문,중앙신문,(주)대한매일신보사,,
SNU-074,1908,신문,대한매일신보,출판,신문,중앙신문,(주)대한매일신보사,,광고개재 안내광고
SNU-076,1908,신문,대한매일신보,출판,출판 기타,출판 기업PR,수리학잡지사,,수리학잡지사 잡지발간광고(청년학원내 수리학잡지사)
SNU-028,1909,신문,대한매일신보,출판,서적,일반서적,중앙서관,대한제국지도,서적광고
SNU-031,1909,신문,대한매일신보,출판,신문,영자신문,(주)대한매일신보사,영자신문,대한매일신보사 영자신문 발행광고
SNU-035,1909,신문,대한매일신보,출판,신문,중앙신문,황성신문사,기업PR,
SNU-039,1909,신문,대한매일신보,출판,일반용 교재,일반용 교재 제품종합,중앙서관,이과사생,중앙서관 이과사생 서적광고
SNU-048,1909,신문,대한매일신보,출판,서적,일반서적,해동서림,,해동서림 일본어 서적광고
조선광고대상0116,1972,신문,조선일보,출판,출판 기타,출판 기업PR,도서출판현암사,기업PR,이문은 잠겨있는 것이 아닙니다
